Trend data for Model:	
Model time base:		8
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		23LIC0001:Measurement		23LIC0001:InternalSetpoint		23LIC0001:ControllerOutput		23LIC0002:Measurement		23LIC0002:InternalSetpoint		23LIC0002:ControllerOutput
Units		fract		fract		fract		fract		fract		fract
Legend titles												
0		0.6003734		0.6		0.2476206		0.7511724		0.75		0.6698458
8		0.5987909		0.6		0.1476174		0.7503788		0.75		0.6697553
16		0.6004778		0.6		0.2532539		0.7490169		0.75		0.669452
24		0.6021559		0.6		0.3604629		0.7486262		0.75		0.6693687
32		0.6023054		0.6		0.3723414		0.7513327		0.75		0.6698786
40		0.6009119		0.6		0.285944		0.7468239		0.75		0.6688821
48		0.6003171		0.6		0.2484157		0.7489733		0.75		0.6692021
56		0.6001896		0.6		0.240357		0.7467192		0.75		0.6685895
64		0.5992928		0.6		0.1832574		0.7476888		0.75		0.6686417
72		0.5992784		0.6		0.1831018		0.7461557		0.75		0.6681477
80		0.5999402		0.6		0.2253062		0.7465382		0.75		0.6680307
88		0.5994293		0.6		0.1940011		0.7481231		0.75		0.6681542
96		0.6013241		0.6		0.3142702		0.7465485		0.75		0.6676395
104		0.5998993		0.6		0.2246416		0.7453095		0.75		0.6671555
112		0.6001685		0.6		0.2416132		0.7436953		0.75		0.666591
120		0.6003093		0.6		0.2509602		0.7454205		0.75		0.6666784
128		0.6008944		0.6		0.2887163		0.7444605		0.75		0.6661746
136		0.6012333		0.6		0.3111223		0.7461621		0.75		0.6662559
144		0.6000805		0.6		0.2384565		0.7447139		0.75		0.6656557
152		0.5995055		0.6		0.2013853		0.7456953		0.75		0.66557
160		0.6009973		0.6		0.2950328		0.7459679		0.75		0.6653477
168		0.6012944		0.6		0.3155165		0.7464378		0.75		0.6651696
176		0.6005835		0.6		0.2727522		0.7458849		0.75		0.6647838
184		0.5990597		0.6		0.1774915		0.7456449		0.75		0.6644447
192		0.5991097		0.6		0.1791593		0.7439146		0.75		0.663733
200		0.5999386		0.6		0.2294595		0.7446968		0.75		0.6636029
208		0.6005521		0.6		0.2684322		0.7459693		0.75		0.6635776
