Trend data for Model:	
Model time base:		8
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		23LIC0001:Measurement		23LIC0001:InternalSetpoint		23LIC0001:ControllerOutput		23LIC0002:Measurement		23LIC0002:InternalSetpoint		23LIC0002:ControllerOutput
Units		fract		fract		fract		fract		fract		fract
Legend titles												
0		0.6003734		0.6		0.2476206		0.7511724		0.75		0.6698458
8		0.5999141		0.6		0.2422857		0.7520667		0.75		0.6786357
16		0.5998649		0.6		0.241754		0.7497638		0.75		0.6647444
24		0.5986816		0.6		0.228113		0.7489446		0.75		0.6596864
32		0.5995141		0.6		0.2375818		0.7517608		0.75		0.6765131
40		0.6010901		0.6		0.2558127		0.7489264		0.75		0.6591182
48		0.5997602		0.6		0.2405919		0.7493066		0.75		0.6610743
56		0.6014127		0.6		0.2597245		0.7496725		0.75		0.663025
64		0.600416		0.6		0.2482412		0.7501492		0.75		0.6661974
72		0.5997455		0.6		0.240614		0.7490233		0.75		0.6593878
80		0.599583		0.6		0.238732		0.7499292		0.75		0.664658
88		0.599244		0.6		0.234656		0.749775		0.75		0.6638827
96		0.598619		0.6		0.2274447		0.7496686		0.75		0.6627041
104		0.5997103		0.6		0.2399949		0.7489358		0.75		0.6582866
112		0.5994745		0.6		0.2373012		0.7498398		0.75		0.6638822
120		0.5992943		0.6		0.2354122		0.7503591		0.75		0.6674443
128		0.5999205		0.6		0.2426263		0.7493917		0.75		0.6616308
136		0.6016288		0.6		0.2624616		0.7483046		0.75		0.6553629
144		0.5991872		0.6		0.2344916		0.7506545		0.75		0.6694015
152		0.5992421		0.6		0.2350751		0.7493512		0.75		0.6614426
160		0.6005823		0.6		0.2505373		0.7487867		0.75		0.6574297
168		0.6008264		0.6		0.2533092		0.7506043		0.75		0.6684621
176		0.6003246		0.6		0.2475674		0.7491288		0.75		0.6597372
184		0.6018121		0.6		0.2646693		0.7487054		0.75		0.6569984
192		0.601504		0.6		0.2611604		0.7492562		0.75		0.6603409
200		0.6000876		0.6		0.2449634		0.7491723		0.75		0.6597215
208		0.5995954		0.6		0.2392796		0.7492799		0.75		0.6605645
