Trend data for Model:	
Model time base:		72
Plot duration (secs):		43200

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.786904		3.78675		40.31589		12.09606		11.88684		54		23.03817		22.93384		79.58437		53.98295		54		11.88684		39.94884		40		22.93384		98.73919		98.17471		54.93042		52.86306		52.88842		61.8546		35.29904		35.3		98.17471		48.51285		48.51		52.88842
72		3.786101		3.78675		40.07812		11.86436		12.10685		55.42536		23.00116		22.97855		79.3482		54.03952		54		12.10685		39.98358		40		23.02736		97.3507		97.5913		54.93224		52.96895		52.84472		67.37621		35.30093		35.3		98.47032		48.49383		48.51		52.6999
144		3.786485		3.78675		40.18775		11.81411		12.04903		55.5103		22.91798		22.92845		79.42299		54.02617		54		12.04903		39.9745		40		22.99361		98.39319		100.7424		55.22528		53.00795		52.92133		65.03863		35.30395		35.3		98.94131		48.51672		48.51		52.9311
216		3.786917		3.78675		40.31116		12.11798		12.02258		55.34034		23.03709		23.14001		79.76368		54.01882		54		12.02258		40.01055		40		23.09566		98.01853		95.80501		54.26554		52.83568		52.92262		57.1767		35.29628		35.3		97.71614		48.53291		48.51		53.09461
288		3.788269		3.78675		40.70287		12.15844		11.92418		55.20818		23.02816		23.05207		79.65523		53.99241		54		11.92418		39.97942		40		23.00512		98.05641		98.6071		55.22098		52.93922		52.76543		70.0665		35.3132		35.3		100.4012		48.51261		48.51		52.89199
360		3.7862		3.78675		40.09562		11.98557		11.93413		55.29093		23.04459		22.942		79.46587		53.99411		54		11.93413		39.96948		40		22.97349		97.66821		98.71027		54.83722		52.86382		52.90137		59.83433		35.28218		35.3		95.47415		48.52534		48.51		53.0207
432		3.78662		3.78675		40.21476		12.05132		11.8502		55.18856		22.99813		23.06034		79.59867		53.97236		54		11.8502		39.99328		40		23.03938		98.95343		97.34391		54.89145		52.86917		52.91757		59.61827		35.29103		35.3		96.88361		48.52294		48.51		52.99726
504		3.786277		3.78675		40.11184		11.97916		11.84487		55.1705		23.03017		22.95116		79.48068		53.9714		54		11.84487		40.04039		40		23.17352		98.54568		99.55596		55.28585		52.87714		53.04497		53.59224		35.29037		35.3		96.77993		48.50047		48.51		52.77282
576		3.785878		3.78675		39.99391		11.92244		12.12789		55.37844		22.98881		23.05449		79.58697		54.04432		54		12.12789		39.95428		40		22.9205		98.26526		99.15966		54.98709		52.88393		52.95087		57.94774		35.29426		35.3		97.39243		48.50139		48.51		52.78332
648		3.786947		3.78675		40.30279		11.93077		11.62342		54.9954		23.03717		22.93568		79.49483		53.91719		54		11.62342		39.98372		40		23.0042		98.25612		97.63859		54.6626		52.82398		52.78209		62.77388		35.29785		35.3		97.94888		48.5075		48.51		52.84518
720		3.785602		3.78675		39.90783		11.89559		11.7736		55.28058		23.10474		23.09584		79.75108		53.95409		54		11.7736		39.98379		40		23.00629		97.86235		97.00212		54.92695		52.8642		52.83537		62.13924		35.29801		35.3		97.98072		48.51022		48.51		52.87241
792		3.789001		3.78675		40.89655		11.8787		11.70213		55.10081		23.04209		22.97388		79.59128		53.93679		54		11.70213		40.00504		40		23.06919		97.78533		97.13534		54.42289		52.82457		52.99932		52.88613		35.30878		35.3		99.67199		48.48374		48.51		52.60636
864		3.787941		3.78675		40.58619		11.99454		12.11581		55.51844		23.13837		23.01866		79.53767		54.04008		54		12.11581		39.98297		40		23.00459		98.37174		97.6588		55.01917		52.95713		52.68095		74.42976		35.28815		35.3		96.40964		48.50501		48.51		52.82038
936		3.786171		3.78675		40.06738		12.23525		11.91413		55.11245		23.04732		23.18847		79.81791		53.989		54		11.91413		40.01005		40		23.08477		97.09764		98.41171		55.02674		52.78256		52.82919		58.91836		35.30557		35.3		99.16		48.47979		48.51		52.56697
1008		3.786538		3.78675		40.1745		12.1781		12.14084		55.3709		23.04634		23.05272		79.45284		54.04502		54		12.14084		39.98782		40		23.01642		98.05381		97.64121		55.05634		52.7802		53.02081		49.28603		35.2969		35.3		97.7927		48.52228		48.51		52.99438
1080		3.785705		3.78675		39.92992		11.73804		11.89396		55.40664		23.07413		23.08528		79.52241		53.98383		54		11.89396		39.97398		40		22.97315		98.71673		97.06012		54.80413		52.93654		52.8485		64.93146		35.28235		35.3		95.49204		48.5174		48.51		52.94613
1152		3.786644		3.78675		40.2026		11.93683		12.17543		55.42135		22.91836		22.93434		79.59288		54.05623		54		12.17543		39.9729		40		22.96816		98.41997		103.8856		55.69436		52.9092		52.98881		57.46495		35.30442		35.3		98.97988		48.5116		48.51		52.88786
1224		3.786901		3.78675		40.27598		12.08992		12.11552		55.43377		22.99083		23.05463		79.77188		54.04135		54		12.11552		40.04398		40		23.17537		98.94284		99.45423		55.04377		52.96706		52.72966		73.01276		35.29547		35.3		97.5581		48.52131		48.51		52.98501
1296		3.787318		3.78675		40.39614		12.03104		12.02314		55.47978		23.12465		22.99955		79.6027		54.01724		54		12.02314		40.00977		40		23.07876		97.83846		100.5371		55.64852		52.78911		52.93261		54.56981		35.31658		35.3		100.9039		48.50641		48.51		52.83426
1368		3.787001		3.78675		40.30119		11.88968		11.97201		55.49294		22.95314		22.73331		79.31564		54.00351		54		11.97201		40.01943		40		23.10578		98.72812		99.71192		55.0602		52.83599		52.80367		62.99556		35.31601		35.3		100.8078		48.50261		48.51		52.79558
1440		3.786669		3.78675		40.20277		11.97776		11.91831		55.46958		22.95797		23.09717		79.59429		53.98873		54		11.91831		39.98294		40		22.99606		98.55202		98.1694		54.78385		52.86043		52.94645		57.25453		35.2993		35.3		98.15742		48.50699		48.51		52.8392
1512		3.787499		3.78675		40.44332		11.81899		12.22589		55.89601		23.06384		23.06993		79.46982		54.06444		54		12.22589		40.0078		40		23.06467		98.50889		97.16485		54.67128		52.93709		52.93911		61.20225		35.31108		35.3		100.0227		48.50848		48.51		52.85386
1584		3.786314		3.78675		40.09627		11.85095		12.03943		55.69755		22.99448		23.05353		79.51863		54.01652		54		12.03943		40.00263		40		23.04629		98.73059		96.94409		54.94303		52.81486		52.91105		56.69303		35.29942		35.3		98.18218		48.4945		48.51		52.71321
1656		3.786792		3.78675		40.23336		12.14259		12.12486		55.39511		22.95896		22.99808		79.50304		54.03806		54		12.12486		39.95897		40		22.91623		97.5864		98.08485		54.82145		52.82984		52.85705		59.98649		35.29763		35.3		97.89		48.51106		48.51		52.87963
1728		3.786642		3.78675		40.18664		12.17814		11.98642		55.48716		22.99747		22.96073		79.45724		54.00072		54		11.98642		39.98056		40		22.97634		98.07799		99.40836		55.13958		52.86325		52.90343		59.81705		35.31765		35.3		101.052		48.50302		48.51		52.79764
1800		3.786119		3.78675		40.03355		12.123		12.00219		55.30482		22.96086		22.97492		79.64256		54.00389		54		12.00219		39.98309		40		22.98369		98.71515		95.92438		54.86568		52.82503		52.90127		57.67301		35.26895		35.3		93.35419		48.51438		48.51		52.91176
1872		3.78509		3.78675		39.73222		11.97264		11.71214		54.92615		22.98043		23.01571		79.4128		53.9333		54		11.71214		40.00942		40		23.05644		98.17824		96.76185		54.42284		52.78426		53.01064		50.77049		35.30228		35.3		98.626		48.50991		48.51		52.86672
1944		3.787123		3.78675		40.3233		11.95348		11.65815		54.99049		22.99096		23.03424		79.55696		53.92102		54		11.65815		40.02105		40		23.08744		97.9773		98.29108		54.98333		52.83449		52.99157		54.32059		35.30558		35.3		99.14561		48.52581		48.51		53.02634
2016		3.786981		3.78675		40.28142		11.8969		11.66298		55.20879		23.03721		23.11899		79.7396		53.92232		54		11.66298		40.06465		40		23.21584		98.7549		95.27043		54.6244		52.8342		52.92298		57.11896		35.29088		35.3		96.82683		48.51121		48.51		52.87898
2088		3.787163		3.78675		40.33516		11.84985		12.02334		55.4861		23.06977		23.06882		79.55001		54.0135		54		12.02334		40.0133		40		23.06827		98.10691		99.43126		55.51427		52.88653		52.89463		61.03229		35.28854		35.3		96.46217		48.5049		48.51		52.81548
2160		3.786837		3.78675		40.23944		11.99872		11.77299		55.05753		23.01229		22.85098		79.37018		53.95237		54		11.77299		40.05441		40		23.18546		98.23922		100.5646		55.20676		52.8505		52.88456		59.57388		35.31058		35.3		99.94695		48.51646		48.51		52.93135
2232		3.786464		3.78675		40.12825		11.81125		12.02253		55.53287		23.06767		23.03729		79.6301		54.01575		54		12.02253		40.00349		40		23.03834		98.00962		96.21853		54.10407		52.77612		52.87728		56.43602		35.29743		35.3		97.85026		48.50809		48.51		52.84696
2304		3.787871		3.78675		40.53727		12.09631		12.1356		55.73877		23.08423		22.88408		79.59118		54.04128		54		12.1356		40.03731		40		23.14081		97.88793		100.4374		55.27391		52.77416		52.88226		56.12088		35.32199		35.3		101.7381		48.50999		48.51		52.86396
2376		3.786004		3.78675		39.99261		12.0575		11.70145		55.19525		23.1027		23.09763		79.57605		53.92948		54		11.70145		39.99443		40		23.01879		99.01613		99.76717		55.57168		52.88569		52.93534		58.51761		35.29719		35.3		97.82578		48.51111		48.51		52.87375
2448		3.786862		3.78675		40.24355		11.80316		11.95799		55.40942		22.85779		23.07013		79.48369		53.9944		54		11.95799		39.92845		40		22.82214		99.71778		96.2357		54.84663		52.90818		52.91951		60.10103		35.31687		35.3		100.9549		48.49368		48.51		52.69961
2520		3.78345		3.78675		39.24761		11.79034		11.92285		55.23487		22.92024		23.05224		79.3804		53.98831		54		11.92285		40.03531		40		23.12372		98.27476		96.2317		54.35867		52.91529		53.00236		56.54466		35.30281		35.3		98.71286		48.51852		48.51		52.95001
2592		3.784654		3.78675		39.59857		12.11815		11.9573		55.24004		23.17093		23.07956		79.59001		53.99727		54		11.9573		40.03416		40		23.12082		97.59898		98.41186		55.10435		52.91748		52.90615		61.46457		35.29583		35.3		97.60724		48.52106		48.51		52.97521
2664		3.785894		3.78675		39.95913		12.18027		11.75906		55.14528		23.11249		23.23999		79.92997		53.94654		54		11.75906		40.0426		40		23.15091		98.02405		97.97863		54.66987		52.87415		52.86786		61.70244		35.28567		35.3		95.98461		48.52066		48.51		52.96986
2736		3.786851		3.78675		40.23642		12.28592		12.11002		55.55205		23.0755		23.06321		79.66539		54.03148		54		12.11002		40.02387		40		23.09928		97.35461		98.87621		55.10845		52.92534		52.95771		59.73734		35.29811		35.3		97.95266		48.4986		48.51		52.74679
2808		3.788669		3.78675		40.76583		12.12953		12.21217		55.84233		23.00892		22.8995		79.3333		54.0542		54		12.21217		39.99434		40		23.01172		97.98756		97.45495		55.05364		52.81814		52.89975		57.34394		35.29414		35.3		97.32933		48.51531		48.51		52.91407
2880		3.786024		3.78675		39.99314		12.20569		11.83751		55.24148		22.9602		23.01604		79.38481		53.95826		54		11.83751		39.97731		40		22.95624		98.30623		97.03355		55.13198		52.84351		52.70571		67.85816		35.30034		35.3		98.31767		48.51788		48.51		52.94004
2952		3.787573		3.78675		40.44467		11.80608		11.87091		55.22778		22.86122		23.08363		79.51326		53.96853		54		11.87091		39.93573		40		22.82933		98.19447		98.07791		55.06591		52.93488		52.96236		60.3649		35.27135		35.3		93.72984		48.52211		48.51		52.98373
3024		3.787923		3.78675		40.54553		11.87816		11.96217		55.29308		22.96236		23.06095		79.56974		53.99395		54		11.96217		40.0187		40		23.06666		98.27447		99.88416		55.0623		52.86548		52.83551		63.38995		35.29471		35.3		97.42108		48.49296		48.51		52.69199
