Trend data for Model:	
Model time base:		144
Plot duration (secs):		57312

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		2.228657		3.78675		0		6.780613e-005		0.06458025		54		7.947247		0		42.39217		0.7995472		54		0.06458025		0.1704453		44		0		0		0		93.3293		0		0		0		26.94579		38		0		30.03092		48.5		0
144		2.258987		3.78675		0.6698524		0		0.6744288		61.50217		0.3272974		0.1966239		9.242304		1.553027		54		0.6744288		0.1907688		44		0.2159441		0.07983316		1.381066		99.50998		0.005547567		0.08446445		17.83776		27.05334		38		4.730755		30.23998		48.5		0.04503233
288		2.246194		3.78675		0		0		0.1537163		64.25837		0.1387236		0		5.986028		1.479034		54		0.1537163		0.1482785		44		0.06470389		0.01139622		3.206177		99.94852		0		0		19.32725		26.98279		38		4.625052		30.09958		48.5		0.0446898
432		2.32839		3.78675		2.179959		0		0.06322323		67.48452		0.1267814		0		5.379393		1.587147		54		0.06322323		1.407424		44		0.1283563		0.009417771		1.457023		99.63798		0.03526535		0.1135097		51.63643		27.29948		38		0		30.53849		48.5		0.2051843
576		2.447848		3.78675		12.60379		0		0		70.81429		0.09169531		0		4.850362		1.759545		54		0		1.248261		44		0.1142663		0		4.120889		99.95176		0		0.2152721		39.41304		27.93065		38		0.1524642		31.41861		48.5		0.1613444
720		2.540113		3.78675		16.90975		0		0.3187922		75.13222		0.04809847		0		4.486607		2.440909		54		0.3187922		0.9343126		44		0		0		7.502878		99.90671		0		0.1772726		35.04819		28.8511		38		7.09197		32.42112		48.5		0.346246
864		2.610859		3.78675		16.35464		0.02980395		0.2708239		78.66873		0.07465756		0		4.196051		2.322026		54		0.2708239		0.6554706		44		0.1370467		16.66461		0.9350349		76.36876		0		0.1981566		26.64787		29.617		38		2.810612		33.53005		48.5		0.1224532
1008		2.678289		3.78675		16.02629		0.02119022		0.4340119		82.07941		0.09201988		0.1020319		4.024827		2.435844		54		0.4340119		0.6009404		44		0		8.981937		4.248534		19.6		0		0.9166731		0.6742118		29.86871		38		0.8821821		34.9537		48.5		0.7009142
1152		2.739792		3.78675		15.13016		0		0.04653502		85.28649		0.09064849		0.05169302		3.785545		2.448095		54		0.04653502		0.6406926		44		0		13.02813		14.44378		16.78924		3.436284		4.490778		6.258019		30.77571		38.3		14.59218		36.62315		48.5		4.675709
1296		2.815838		3.78675		19.591		0.4123967		0.4682153		52.41365		0.05108264		0		3.810794		2.168714		54		0.4682153		1.23438		44		0		23.95564		19.5239		23.10121		8.204365		8.899906		63.65361		31.5131		38.3		18.24847		38.13197		48.5		8.70685
1440		2.880531		3.78675		22.0496		0.7263026		0		26.6483		0.06864859		0.1068935		3.80759		1.860389		54		0		1.703284		44		0		33.51454		29.29973		25.64578		5.040545		4.361876		92.40181		32.24658		38.3		33.03192		38.71364		48.5		4.423409
1584		2.945303		3.78675		25.66303		0.3590472		0.03227103		10.6557		0.09122147		0		3.628134		2.097713		54		0.03227103		1.965217		44		0.2122509		47.39822		47.28528		29.4059		0.3737246		0.4523368		68.96863		32.91355		38.3		48.05372		39.25348		48.5		0.2995596
1728		2.999578		3.78675		27.25406		0.1920138		0		8.33726		0.07046147		0.08628408		3.778603		1.808392		54		0		2.080831		44		0		59.75404		59.97144		34.22375		0.08106865		0.1048823		76.13891		33.49484		38.3		59.42264		39.71804		48.51		0.02519971
1872		3.053248		3.78675		29.62426		0.02459762		0.6117778		11.96693		0.1283759		0.1262308		4.339133		1.947379		54		0.6117778		4.349324		44		0.116473		64.6417		65.78401		41.43429		0.2508729		0.1175287		86.92832		33.4219		35.3		62.76517		40.09467		48.51		0
2016		3.104132		3.78675		32.05616		0.2683333		0.5697215		10.02904		3.554688		3.931014		25.00383		2.34882		54		0.5697215		10.10074		44		4.099032		72.58811		73.46804		38.41591		0.1428446		0.109648		84.87975		33.66591		35.3		73.6701		40.37234		48.51		0.199416
2160		3.15436		3.78675		35.22616		0.195123		0		8.187208		6.97461		7.195938		34.30754		4.387616		54		0		15.03164		44		7.446501		72.72531		72.94652		38.05182		0.06111983		0.2115816		77.37032		33.80875		35.3		71.63555		40.65244		48.51		0.0695963
2304		3.18882		3.78675		34.50792		0.1730107		0		8.238868		11.83177		12.10976		44.53581		7.642491		54		0		19.83161		44		12.13615		72.00837		70.50053		37.11173		0.2477983		0.1769391		82.16504		33.94432		35.3		70.74646		40.87696		48.51		0.1994877
2448		3.22096		3.78675		33.6954		0.1978519		0.2141873		8.459152		15.16384		15.05775		50.14815		11.16526		54		0.2141873		23.57245		44		15.24737		70.58515		70.96931		37.63461		0.2320915		0		93.59518		34.07671		35.3		71.38934		41.12225		48.51		0.1586004
2592		3.251571		3.78675		32.99389		0.2258812		0.03823904		8.256216		17.52028		17.7387		54.36191		14.22878		54		0.03823904		26.69128		44		17.74002		71.72816		70.57488		37.32044		0.3628681		0.01283036		99.22121		34.19883		35.3		72.30603		41.27276		48.51		0.1927838
2736		3.284356		3.78675		33.47283		0.199862		0.001952879		8.234786		19.56098		19.81232		57.61119		17.07729		54		0.001952879		29.33122		44		19.83563		74.83104		74.10593		37.51957		0.2887476		0.1064902		92.36935		34.31625		35.3		74.26772		41.37414		48.51		0.1658322
2880		3.312242		3.78675		33.05341		0.1599616		0		8.557098		21.51527		21.64536		60.17856		19.5062		54		0		31.59161		44		21.68226		72.47817		73.13207		37.8878		0.241411		0.1881035		87.29715		34.39597		35.3		71.88577		41.47574		48.51		0.1863396
3024		3.340975		3.78675		33.38012		0.2533839		0.3364696		8.777544		23.16742		23.36638		62.54042		21.82089		54		0.3364696		33.53887		44		23.35058		72.02519		70.35146		37.43918		0.2549794		0.1234916		88.40902		34.4978		35.3		74.4499		41.59339		48.51		0.2218412
3168		3.366638		3.78675		33.28255		0.2495613		0.3721491		9.01487		24.33871		24.57381		64.28391		24.00131		54		0.3721491		35.09212		44		24.47827		73.53135		74.99254		38.14791		0.1880788		0.2379358		81.48059		34.57001		35.3		73.62737		41.6977		48.51		0.1711746
3312		3.391862		3.78675		33.50037		0.2055716		0.2113027		8.765215		26.5127		26.9852		67.45249		25.9167		54		0.2113027		36.95532		44		27.03157		71.30061		73.82407		38.3827		0.321585		0.2623586		88.73884		34.65678		35.3		76.28895		41.80861		48.51		0.1745031
3456		3.412879		3.78675		32.90823		0.2240052		0		8.471874		29.85861		29.87694		73.52874		27.6839		54		0		40.1729		44		30		73.50714		73.29783		37.81752		0.2770397		0.07841738		94.60072		34.70531		35.3		73.95425		41.90861		48.51		0.02934155
3600		3.435428		3.78675		33.15461		0.2118274		0.2320507		8.839313		29.86451		29.98754		75.33121		29.49765		54		0.2320507		42.47185		44		29.96694		71.10372		70.14593		37.66744		0.1828318		0.06357946		91.75469		34.74264		35.3		70.79925		42.02168		48.51		0.02767589
3744		3.455477		3.78675		33.03838		0.2177445		0		8.532216		29.80917		29.91302		76.54941		31.10646		54		0		44.12795		44		29.98178		74.69623		71.86613		37.45237		0.01800753		0		81.94853		34.79237		35.3		70.46227		42.11644		48.51		0
3888		3.474838		3.78675		33.06398		0.3157743		0.3413229		8.811084		29.95841		29.8407		77.26381		32.80887		54		0.3413229		45.17229		44		30		75.30341		75.29077		37.97489		0.4254859		0.06472946		100		34.85916		35.3		73.59077		42.24624		48.51		0.1614637
4032		3.493674		3.78675		33.26534		0.3134353		0.3161896		9.185106		29.76966		29.83416		78.03524		34.31632		54		0.3161896		45.78281		44		29.9007		70.74311		73.42132		38.26944		0.3037511		0		97.64227		34.88923		35.3		71.58344		42.36193		48.51		0.183155
4176		3.508986		3.78675		32.74155		0.2540175		0.1148358		8.983199		29.82338		29.922		78.58913		35.8021		54		0.1148358		46.26344		44		29.88178		71.3699		70.0529		37.36886		0.3214778		0.08317602		92.11443		34.93755		35.3		73.07485		42.45847		48.51		0.04347407
4320		3.5261		3.78675		33.03387		0.2698004		0.196364		9.450395		29.72086		29.77777		79.00091		37.32749		54		0.196364		46.53484		44		29.68248		71.68514		70.4362		37.18744		0.3084178		0.4865113		73.13226		34.95504		35.3		70.25687		42.56694		48.51		0.1985622
4464		3.540248		3.78675		32.73162		0.3354802		0.461837		9.586964		29.94548		29.94505		79.16278		38.77887		54		0.461837		47.10302		44		29.88603		71.29235		71.16727		37.31109		0.2817684		0.2429566		81.43367		34.99583		35.3		71.64106		42.71315		48.51		0.2634079
4608		3.555915		3.78675		33.13195		0.307895		0.2932953		9.766634		29.78746		29.97595		79.34552		40.16997		54		0.2932953		47.55042		44		29.81911		70.47447		70.80797		37.46911		0.2961524		0.2692215		80.93423		35.01717		35.3		70.41817		42.82281		48.51		0.1655364
4752		3.568614		3.78675		32.91473		0.408383		0.562723		10.84134		29.81807		29.95839		79.40084		41.64993		54		0.562723		48.015		44		29.99913		70.51177		70.45533		37.45328		0.1855836		0.02987583		90.08		35.06364		35.3		73.62975		42.92172		48.51		0
4896		3.581612		3.78675		33.01181		0.319779		0.1267684		9.923931		29.87997		29.89926		79.52951		43.00871		54		0.1267684		48.38991		44		29.76078		71.54539		71.51667		37.52209		0		0.1998276		76.06133		35.08055		35.3		72.54929		43.05601		48.51		0.07347185
5040		3.592049		3.78675		32.58269		0.4171615		0.3533818		10.73215		29.85708		29.8755		79.72125		44.50136		54		0.3533818		48.70125		44		29.83922		71.72532		73.70285		37.87137		0.2241481		0		95.65794		35.09989		35.3		72.22701		43.17585		48.51		0.04939107
5184		3.605754		3.78675		33.31309		0.4906687		0.5442264		11.44075		29.79302		29.73927		79.80134		45.97338		54		0.5442264		48.92236		44		29.80662		70.77595		70.52984		37.40943		0.2099331		0.2081364		83.98306		35.1203		35.3		72.41657		43.30454		48.51		0.1170155
5328		3.616169		3.78675		33.27772		0.6800875		0.9827444		13.4092		29.85971		30		80.20008		47.45593		54		0.9827444		49.12404		44		29.8589		71.98538		73.20256		37.93651		0.3678768		0.3481731		82.1158		35.12372		35.3		70.21297		43.42966		48.51		0.1284194
5472		3.625333		3.78675		33.06331		1.325395		1.894546		18.38492		29.97764		29.81418		80.07054		48.82191		54		1.894546		49.1331		44		29.86253		72.65721		70.94709		37.22966		0.1827586		0.2995015		76.45984		35.14185		35.3		70.61066		43.55478		48.51		0.03138788
5616		3.636021		3.78675		33.46598		2.460516		2.650885		24.13689		29.92724		29.84253		80.25		49.90729		54		2.650885		49.08146		44		29.8285		73.46419		75.37779		38.13022		0.4095616		0.086954		90.30389		35.17015		35.3		72.87412		43.70907		48.51		0.05234243
5760		3.644443		3.78675		33.36456		3.26016		3.271727		27.78472		29.74986		29.71445		80.31137		50.76893		54		3.271727		48.97337		44		29.61089		70.55581		73.53633		38.24014		0.5379739		0.3341482		85.45148		35.1788		35.3		72.21895		43.82482		48.51		0.1407414
5904		3.65485		3.78675		33.99722		4.146323		3.980123		31.00283		29.77656		29.8003		80.29233		51.49631		54		3.980123		48.81947		44		29.83206		71.68703		72.86369		38.0696		0.4023732		0.2352386		87.44301		35.16957		35.3		68.93343		43.97386		48.51		0.2463398
6048		3.658074		3.78675		32.66364		4.787369		4.369136		33.02017		29.81443		29.82508		80.45104		52.02421		54		4.369136		49.00141		44		29.95912		67.98103		70.68774		37.57339		0.5504488		0.1971325		90.63759		35.17735		35.3		68.41292		44.0421		48.51		0.2081296
