Trend data for Model:	
Model time base:		3
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																				
0		3.787969		3.78675		40.23675		16.37977		13.4079		22.79395		22.77011		78.8885		53.36793		54		9.370189		40.0414		40		22.76037		94.34757		98.03186		56.32884		52.81115		52.82158		61.55886		35.29648		35.3		98.20688		48.49245		48.51		52.627
3		3.786885		3.78675		40.18219		8.137943		13.4079		22.73581		22.77378		78.94819		53.47487		54		9.67302		40.01181		40		22.74269		102.1624		98.25531		54.44483		52.75749		52.6553		62.68649		35.31976		35.3		98.54364		48.50391		48.51		52.7415
6		3.786435		3.78675		40.15973		16.71839		13.4079		22.6812		22.79231		79.02664		53.44603		54		9.584786		40.02572		40		22.75111		94.20818		98.34852		56.44143		52.79194		52.88513		60.73035		35.29301		35.3		98.15805		48.49865		48.51		52.68893
9		3.787274		3.78675		40.20171		6.645172		13.4079		22.75357		22.76439		78.9254		53.37497		54		9.374941		40.07756		40		22.78231		103.304		98.37396		54.20143		52.73016		52.94915		59.47169		35.30314		35.3		98.30506		48.51292		48.51		52.83158
12		3.787864		3.78675		40.23143		22.81462		13.4079		22.76759		22.77962		78.91864		53.40674		54		9.461283		40.05083		40		22.76633		89.31814		98.28934		57.68921		52.70079		52.73359		61.33135		35.30924		35.3		98.39304		48.50985		48.51		52.80082
15		3.785397		3.78675		40.10846		3.116154		13.4079		22.71602		22.77038		78.95085		53.44594		54		9.569001		40.06376		40		22.77417		107.0884		98.0281		53.27441		52.77048		52.72278		62.13563		35.29475		35.3		98.1842		48.51893		48.51		52.89153
18		3.787303		3.78675		40.20408		25.94258		13.4079		22.78522		22.75306		78.86243		53.30487		54		9.157673		40.05041		40		22.76625		86.14997		98.39737		58.64346		52.71354		52.72354		61.55669		35.29774		35.3		98.22885		48.53264		48.51		53.02868
21		3.789042		3.78675		40.29141		3.097954		13.4079		22.75412		22.74909		78.89053		53.38689		54		9.388641		40.02682		40		22.75218		107.4826		98.38103		53.42109		52.77296		52.76003		61.78395		35.31961		35.3		98.54595		48.49289		48.51		52.6311
24		3.78698		3.78675		40.18851		25.88921		13.4079		22.77492		22.7584		78.87438		53.39146		54		9.396508		40.07164		40		22.77915		86.35249		98.29049		58.71968		52.79216		52.68036		62.7717		35.31591		35.3		98.49526		48.50461		48.51		52.74828
27		3.788277		3.78675		40.25387		3.092796		13.4079		22.80304		22.75936		78.8482		53.36082		54		9.302813		40.04171		40		22.76126		107.4522		98.1354		53.51825		52.76401		52.68023		62.4912		35.29622		35.3		98.21369		48.51354		48.51		52.83751
30		3.787335		3.78675		40.20738		25.8969		13.4079		22.75485		22.79415		78.93621		53.35105		54		9.26923		40.00123		40		22.73705		86.30906		98.289		58.8731		52.73334		52.80904		60.89124		35.30062		35.3		98.27818		48.50495		48.51		52.75169
33		3.788502		3.78675		40.2657		3.127539		13.4079		22.72771		22.76964		78.94439		53.33966		54		9.230814		40.01015		40		22.74247		107.5101		98.46394		53.72553		52.75835		52.77116		61.51862		35.30619		35.3		98.36103		48.49302		48.51		52.63242
36		3.787683		3.78675		40.2252		25.83126		13.4079		22.74212		22.78532		78.9461		53.43515		54		9.50013		40.05486		40		22.76937		86.47843		98.54643		59.03418		52.72612		52.80674		60.84133		35.30915		35.3		98.40623		48.50918		48.51		52.79388
39		3.786774		3.78675		40.18017		3.143928		13.4079		22.80094		22.77791		78.87316		53.4337		54		9.490255		40.07108		40		22.77918		107.6513		98.40027		53.8099		52.76945		52.6217		63.12331		35.31539		35.3		98.49886		48.50583		48.51		52.76034
42		3.788036		3.78675		40.24365		25.14824		13.4079		22.82013		22.76717		78.84453		53.33558		54		9.202104		40.07994		40		22.78456		87.01121		98.50142		59.01833		52.79279		52.79367		61.63537		35.29777		35.3		98.24656		48.51675		48.51		52.86962
45		3.786948		3.78675		40.18951		2.907679		13.4079		22.80648		22.76342		78.85033		53.25921		54		8.976444		40.05798		40		22.77145		107.7685		98.38142		53.88272		52.76632		52.68982		62.41074		35.30754		35.3		98.38896		48.51372		48.51		52.83924
48		3.786086		3.78675		40.1468		25.24817		13.4079		22.81222		22.75005		78.82574		53.31389		54		9.128262		40.03229		40		22.7561		87.10114		98.48306		59.0843		52.7924		52.90322		60.53377		35.31426		35.3		98.48824		48.52307		48.51		52.93279
51		3.787538		3.78675		40.21991		2.89731		13.4079		22.71272		22.74051		78.91316		53.32562		54		9.156289		40.07304		40		22.78063		107.9513		98.6359		53.99615		52.75509		52.84706		60.72131		35.31421		35.3		98.49118		48.51155		48.51		52.8175
54		3.786516		3.78675		40.1696		25.19153		13.4079		22.77135		22.77186		78.87777		53.264		54		8.972996		40.06168		40		22.77387		87.08934		98.32197		59.14111		52.8344		52.93532		60.63252		35.31107		35.3		98.44823		48.51196		48.51		52.82161
57		3.786278		3.78675		40.15772		2.919711		13.4079		22.76548		22.73803		78.84999		53.23635		54		8.887289		40.04168		40		22.76193		107.8382		98.38427		54.0498		52.76725		52.8529		60.7839		35.31314		35.3		98.48016		48.50957		48.51		52.79768
60		3.786324		3.78675		40.16014		25.1765		13.4079		22.76756		22.78821		78.90981		53.32658		54		9.141209		40.08758		40		22.78956		87.19659		98.50319		59.24662		52.82285		52.89222		60.94677		35.30932		35.3		98.42766		48.517		48.51		52.87198
63		3.787982		3.78675		40.24316		2.866362		13.4079		22.79452		22.78218		78.87723		53.25266		54		8.922306		40.06449		40		22.77577		107.8572		98.47615		54.15751		52.80365		52.81904		61.48453		35.3165		35.3		98.53522		48.5264		48.51		52.96599
66		3.786298		3.78675		40.15887		25.1782		13.4079		22.85164		22.74826		78.78183		53.35753		54		9.218223		40.06073		40		22.77359		87.31008		98.15107		59.21545		52.79761		52.66712		62.94359		35.29823		35.3		98.27365		48.49373		48.51		52.63924
69		3.786997		3.78675		40.19347		2.888611		13.4079		22.71981		22.76054		78.92435		53.20977		54		8.786519		40.03568		40		22.75863		108.0013		98.46819		54.19953		52.77554		52.76015		61.79185		35.29707		35.3		98.25935		48.50842		48.51		52.78616
72		3.787033		3.78675		40.19567		25.14547		13.4079		22.76979		22.7816		78.8946		53.29183		54		9.016557		40.02693		40		22.75344		87.26121		98.71421		59.44831		52.75775		52.81012		61.11529		35.2964		35.3		98.25204		48.50344		48.51		52.73626
75		3.785291		3.78675		40.10825		2.923173		13.4079		22.8269		22.74335		78.80059		53.25387		54		8.900886		40.0606		40		22.77372		108.0633		98.43159		54.25237		52.76186		52.79448		61.31286		35.31399		35.3		98.50777		48.49859		48.51		52.68769
78		3.785782		3.78675		40.13257		25.16498		13.4079		22.78586		22.76315		78.86752		53.35675		54		9.190607		40.07479		40		22.78233		87.36379		98.69079		59.49383		52.79166		52.93483		60.20828		35.29675		35.3		98.26212		48.51042		48.51		52.80596
81		3.78791		3.78675		40.23894		2.921716		13.4079		22.75119		22.79702		78.94356		53.23644		54		8.837672		40.06885		40		22.77886		108.0152		98.43985		54.33977		52.78208		52.80626		61.39964		35.31748		35.3		98.56256		48.52314		48.51		52.93313
84		3.786544		3.78675		40.17066		25.181		13.4079		22.76972		22.78729		78.91449		53.29314		54		8.994559		40.0074		40		22.74205		87.35987		98.59175		59.54035		52.8412		52.61248		63.92845		35.31494		35.3		98.52855		48.4999		48.51		52.70061
87		3.78622		3.78675		40.15442		2.915934		13.4079		22.77061		22.7633		78.88907		53.26192		54		8.898059		40.06723		40		22.77803		108.0944		98.485		54.40099		52.78373		52.9558		59.9201		35.30924		35.3		98.44842		48.51043		48.51		52.80601
90		3.786394		3.78675		40.16305		25.14174		13.4079		22.74451		22.76861		78.92571		53.2975		54		8.993845		40.04717		40		22.76605		87.42599		98.44772		59.55709		52.80875		52.9015		60.71403		35.32962		35.3		98.74469		48.49982		48.51		52.69982
93		3.787028		3.78675		40.19438		2.934522		13.4079		22.72225		22.79701		78.97601		53.20348		54		8.716308		40.08492		40		22.78878		108.1275		98.52404		54.47448		52.81132		52.95887		60.16507		35.30876		35.3		98.44757		48.49715		48.51		52.67313
96		3.786019		3.78675		40.14374		25.14681		13.4079		22.77647		22.78748		78.9154		53.22849		54		8.781534		40.14015		40		22.82201		87.48932		98.24318		59.56061		52.74702		52.89299		60.18144		35.30688		35.3		98.42314		48.51186		48.51		52.82012
99		3.788504		3.78675		40.26788		2.894022		13.4079		22.76621		22.75919		78.90085		53.25772		54		8.858996		40.0328		40		22.75767		108.1344		98.41986		54.51451		52.74729		52.83711		60.74151		35.29814		35.3		98.30006		48.51505		48.51		52.852
102		3.785718		3.78675		40.12892		25.14781		13.4079		22.76544		22.7373		78.87886		53.15678		54		8.561623		40.03414		40		22.75854		87.49907		98.54273		59.69978		52.84089		52.94211		60.62611		35.32843		35.3		98.73955		48.48353		48.51		52.53675
105		3.786778		3.78675		40.18177		2.919315		13.4079		22.72913		22.76773		78.94477		53.18784		54		8.643968		40.07443		40		22.78279		108.1694		98.30765		54.5412		52.76564		52.83007		60.99266		35.30509		35.3		98.40555		48.5084		48.51		52.78551
108		3.786778		3.78675		40.18194		25.10028		13.4079		22.78676		22.78196		78.90057		53.20427		54		8.684193		40.04953		40		22.76793		87.41736		98.57829		59.78957		52.79018		52.77825		61.75607		35.30753		35.3		98.44271		48.5217		48.51		52.91845
111		3.786188		3.78675		40.15258		2.924594		13.4079		22.78967		22.79053		78.90804		53.21032		54		8.694357		40.04308		40		22.76415		108.1484		98.41897		54.63565		52.79639		52.8543		61.05787		35.32565		35.3		98.70684		48.50334		48.51		52.73486
114		3.787239		3.78675		40.20526		25.13843		13.4079		22.77342		22.75671		78.89313		53.17182		54		8.576371		40.05806		40		22.7732		87.57455		98.42328		59.77317		52.78594		52.75982		61.89851		35.3017		35.3		98.36448		48.51248		48.51		52.8262
117		3.786264		3.78675		40.15639		2.911385		13.4079		22.70712		22.75313		78.96412		53.12624		54		8.437897		40.0695		40		22.78016		108.1989		98.29914		54.65027		52.78955		52.83391		61.19805		35.29931		35.3		98.3319		48.52158		48.51		52.9171
120		3.787036		3.78675		40.19493		25.15392		13.4079		22.79414		22.75671		78.88522		53.18576		54		8.601941		40.06637		40		22.77837		87.50348		98.41049		59.84316		52.82321		52.81154		61.75931		35.29881		35.3		98.32692		48.50596		48.51		52.76084
123		3.786052		3.78675		40.14562		2.827146		13.4079		22.792		22.76191		78.89735		53.13688		54		8.453666		40.07427		40		22.78322		108.2537		98.52717		54.75009		52.75489		52.6415		62.77916		35.32927		35.3		98.76905		48.49521		48.51		52.65323
126		3.785772		3.78675		40.13156		25.10849		13.4079		22.72729		22.77707		78.97163		53.14933		54		8.481875		40.04095		40		22.76331		87.46285		98.41172		59.91081		52.75501		52.77087		61.48939		35.30413		35.3		98.40982		48.52146		48.51		52.9156
129		3.786481		3.78675		40.16687		2.852239		13.4079		22.84947		22.76285		78.83078		53.12624		54		8.407596		40.03576		40		22.76028		108.3723		98.62367		54.798		52.80844		52.83668		61.36574		35.29653		35.3		98.3016		48.52		48.51		52.90102
132		3.787316		3.78675		40.20865		25.13302		13.4079		22.80135		22.78026		78.89196		53.0945		54		8.308441		40.04027		40		22.76307		87.60738		98.36048		59.91008		52.81509		52.66702		63.12871		35.3118		35.3		98.52333		48.51903		48.51		52.89131
