Trend data for Model:	
Model time base:		3
Plot duration (secs):		1770

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																				
0		3.788591		3.78675		40.26914		11.98095		11.93585		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
3		3.787443		3.78675		40.21214		11.60101		12.05588		22.98689		23.03198		79.54952		54.02404		54		12.05588		40.01411		40		23.01749		98.5992		98.5578		54.96963		52.78393		52.75773		61.93717		35.32366		35.3		98.60127		48.52722		48.51		52.97651
6		3.787589		3.78675		40.21924		11.53243		11.71141		23.00971		22.98839		79.50537		53.90447		54		11.71141		39.98308		40		22.99888		98.58959		98.24416		54.87909		52.80909		52.78416		61.92278		35.30392		35.3		98.31598		48.50231		48.51		52.72737
9		3.787252		3.78675		40.20235		11.74553		11.91268		23.00063		22.98389		79.50819		53.97439		54		11.91268		40.03127		40		23.0278		98.32119		98.20557		54.92648		52.82334		52.9755		60.15146		35.29665		35.3		98.2115		48.5115		48.51		52.81935
12		3.788162		3.78675		40.24811		11.72975		11.89008		23.04993		22.99676		79.48305		53.96659		54		11.89008		39.98166		40		22.99803		98.37362		98.22712		54.91111		52.82792		52.83761		61.57577		35.31465		35.3		98.47044		48.5105		48.51		52.80929
15		3.787415		3.78675		40.21076		11.65743		11.90528		23.03314		23.01145		79.50401		53.97188		54		11.90528		40.01987		40		23.02095		98.54189		98.33184		54.89214		52.83358		52.78252		62.18256		35.29575		35.3		98.19925		48.5095		48.51		52.79935
18		3.786772		3.78675		40.17883		11.84653		11.84272		23.0151		23.00153		79.50963		53.95018		54		11.84272		40.00749		40		23.01354		98.33381		98.26861		54.92406		52.77328		52.74668		61.93732		35.30162		35.3		98.28392		48.50119		48.51		52.71622
21		3.786154		3.78675		40.14791		11.90168		11.96343		22.95633		23.02478		79.56484		53.99217		54		11.96343		39.99786		40		23.00775		98.28191		97.96778		54.85769		52.80491		52.77942		61.92581		35.28282		35.3		98.01401		48.50034		48.51		52.70766
24		3.786762		3.78675		40.17817		11.96836		12.03924		23.00425		23.03338		79.53887		54.01851		54		12.03924		39.99393		40		23.0054		98.22689		98.25722		54.94192		52.80378		52.72461		62.4627		35.31271		35.3		98.44424		48.51524		48.51		52.85667
27		3.787412		3.78675		40.21112		11.81385		12.09911		23.07651		22.99953		79.46858		54.03926		54		12.09911		40.02215		40		23.02233		98.36419		98.3348		54.9285		52.87477		52.85594		61.85972		35.30893		35.3		98.39036		48.51819		48.51		52.88625
30		3.784947		3.78675		40.08802		11.8016		11.89097		23.03234		22.98873		79.49099		53.96701		54		11.89097		39.97238		40		22.99247		98.19607		97.90501		54.8604		52.79724		52.97568		59.88793		35.30811		35.3		98.37757		48.5133		48.51		52.83731
33		3.78664		3.78675		40.17269		11.85261		12.19277		23.04821		23.01691		79.499		54.07182		54		12.19277		39.9988		40		23.00831		98.24476		98.3019		54.94868		52.80446		52.80136		61.70415		35.31057		35.3		98.41415		48.51634		48.51		52.86771
36		3.784883		3.78675		40.08508		11.89262		12.07701		23.03087		23.0185		79.51197		54.03168		54		12.07701		40.03597		40		23.03062		98.28601		98.47523		54.98512		52.77312		52.86674		60.737		35.30074		35.3		98.27406		48.51145		48.51		52.81887
39		3.786368		3.78675		40.15918		11.94032		12.0091		23.01695		23.04764		79.54122		54.00813		54		12.0091		40.03001		40		23.02706		98.21597		98.37567		54.97285		52.85234		52.7178		63.01953		35.31267		35.3		98.44469		48.51291		48.51		52.83354
42		3.785081		3.78675		40.09458		11.94133		11.9813		23.04758		22.99991		79.48835		53.99855		54		11.9813		40.00241		40		23.0105		98.24361		98.41174		54.9744		52.75703		52.63217		62.92331		35.27792		35.3		97.94441		48.50508		48.51		52.75519
45		3.785512		3.78675		40.11583		11.83458		12.06188		22.99461		23.04591		79.55435		54.02654		54		12.06188		39.9875		40		23.00157		98.34008		98.28482		54.91728		52.794		52.73287		62.28676		35.28403		35.3		98.03165		48.50311		48.51		52.73536
48		3.78684		3.78675		40.1819		11.95906		12.00167		22.98925		23.02908		79.54685		54.00562		54		12.00167		39.96023		40		22.9852		98.24946		98.02961		54.8758		52.83974		52.67185		63.35702		35.29648		35.3		98.21088		48.51198		48.51		52.82405
51		3.786787		3.78675		40.17951		12.07443		11.92062		23.0083		23.02498		79.53126		53.9775		54		11.92062		40.03736		40		23.03149		98.16996		98.16249		54.92847		52.79173		52.67141		62.88368		35.28636		35.3		98.06443		48.53232		48.51		53.02731
54		3.7876		3.78675		40.22009		11.96169		11.91053		22.96678		22.99965		79.54215		53.97404		54		11.91053		40.00573		40		23.0125		98.25329		98.4162		54.97332		52.72831		52.73291		61.63139		35.29214		35.3		98.14776		48.51064		48.51		52.81053
57		3.786388		3.78675		40.15883		12.04751		12.00696		23.03209		23.00011		79.49879		54.00759		54		12.00696		40.00752		40		23.01357		98.17444		98.45052		55.00331		52.79062		52.6504		63.07772		35.28827		35.3		98.09252		48.52441		48.51		52.94832
60		3.78599		3.78675		40.13885		11.8862		12.10142		22.98671		23.00727		79.53433		54.0404		54		12.10142		39.98566		40		23.00046		98.25244		98.2753		54.94153		52.86853		52.7422		62.94067		35.29481		35.3		98.18646		48.50269		48.51		52.73105
63		3.785705		3.78675		40.12449		12.07553		12.10082		23.00763		23.0023		79.51816		54.0402		54		12.10082		39.98353		40		22.99918		98.16166		98.36174		54.98806		52.79495		52.7504		62.12201		35.30867		35.3		98.38715		48.49128		48.51		52.6169
66		3.787944		3.78675		40.23665		11.97632		11.76922		22.99871		23.01011		79.52961		53.92508		54		11.76922		39.98129		40		22.99785		98.24525		98.24943		54.93945		52.82082		52.82662		61.61729		35.28713		35.3		98.07601		48.52023		48.51		52.90649
69		3.786516		3.78675		40.16543		12.02035		11.89266		23.02036		23.02959		79.52916		53.96805		54		11.89266		39.97707		40		22.99534		98.19821		98.05072		54.90163		52.77999		52.9759		59.71449		35.28735		35.3		98.07918		48.50901		48.51		52.79435
72		3.786358		3.78675		40.15793		12.01223		11.951		23.03353		23.01391		79.50966		53.98834		54		11.951		39.98189		40		22.99825		98.12327		98.41247		55.01026		52.80788		52.66857		63.06709		35.30154		35.3		98.28295		48.50614		48.51		52.76568
75		3.786379		3.78675		40.15902		11.89267		11.8266		22.98242		22.98196		79.52221		53.94515		54		11.8266		40.01769		40		23.01974		98.27513		98.29234		54.94588		52.77619		52.80949		61.34088		35.29457		35.3		98.18333		48.51302		48.51		52.83447
78		3.788331		3.78675		40.25681		11.85222		11.94312		23.02952		23.03318		79.52527		53.98561		54		11.94312		39.98328		40		22.9991		98.29838		98.36103		54.95956		52.83422		52.66837		63.33221		35.3108		35.3		98.41776		48.50629		48.51		52.76716
81		3.787235		3.78675		40.20221		11.89726		11.87434		22.93594		23.01542		79.57617		53.9618		54		11.87434		40.06306		40		23.04697		98.36585		98.12349		54.88208		52.78955		52.84058		61.16355		35.30258		35.3		98.29861		48.51398		48.51		52.84411
84		3.787364		3.78675		40.2091		11.95908		11.96905		23.03487		22.99041		79.49394		53.99472		54		11.96905		39.97287		40		22.99285		98.28115		98.3207		54.95497		52.80031		52.80992		61.57636		35.28814		35.3		98.09136		48.52067		48.51		52.91108
87		3.786423		3.78675		40.1622		11.90424		11.86412		23.04492		23.00219		79.49457		53.95838		54		11.86412		40.03699		40		23.03134		98.25455		98.2503		54.94424		52.78198		52.92554		60.23627		35.27862		35.3		97.95469		48.51912		48.51		52.89556
90		3.786655		3.78675		40.17351		11.91849		12.01175		22.99005		23.02534		79.54603		54.00968		54		12.01175		40.00096		40		23.00974		98.23821		98.2017		54.93854		52.81265		52.85442		61.25708		35.30748		35.3		98.37128		48.48919		48.51		52.59619
93		3.78588		3.78675		40.13502		11.85765		12.13242		23.01744		23.03068		79.53115		54.05163		54		12.13242		40.01172		40		23.0162		98.35419		98.40862		54.96299		52.81836		52.87668		61.0896		35.30031		35.3		98.26896		48.52339		48.51		52.93826
96		3.786915		3.78675		40.18685		11.97459		12.13226		22.98584		23.04826		79.56396		54.05158		54		12.13226		39.98965		40		23.00297		98.18338		98.42462		55.01149		52.81524		52.80642		61.76156		35.29007		35.3		98.12201		48.4955		48.51		52.65928
99		3.785833		3.78675		40.13295		11.89534		11.89774		23.06153		23.02596		79.4985		53.97022		54		11.89774		40.01165		40		23.01619		98.28771		98.21264		54.93433		52.79862		52.95908		60.06687		35.29785		35.3		98.23474		48.50448		48.51		52.74926
102		3.787246		3.78675		40.20377		11.95297		11.811		22.98488		23.00277		79.53352		53.9402		54		11.811		40.03271		40		23.02884		98.27947		98.1543		54.92322		52.80232		52.70817		62.61189		35.30344		35.3		98.31595		48.50963		48.51		52.80078
105		3.785271		3.78675		40.10496		11.94035		11.95518		23.03385		23.02513		79.51611		53.99029		54		11.95518		40.01951		40		23.02095		98.23252		98.49989		55.02396		52.83107		52.83206		61.65945		35.28935		35.3		98.11322		48.52361		48.51		52.94062
108		3.786362		3.78675		40.15999		12.01382		12.08949		23.00018		23.0306		79.54273		54.03691		54		12.08949		39.99549		40		23.00655		98.17725		98.25531		54.97544		52.80487		52.7445		62.27263		35.31887		35.3		98.53834		48.51463		48.51		52.85085
111		3.787795		3.78675		40.23174		11.9976		11.97121		22.96863		23.02603		79.5614		53.99589		54		11.97121		40.04971		40		23.03911		98.2193		98.39187		55.00026		52.78714		52.62518		63.28979		35.29784		35.3		98.2359		48.51913		48.51		52.89585
114		3.787537		3.78675		40.21902		11.96279		12.05014		23.00203		22.9852		79.51293		54.02326		54		12.05014		40.00093		40		23.00986		98.27009		98.27625		54.95941		52.8124		52.82888		61.50639		35.29394		35.3		98.17971		48.50664		48.51		52.77099
117		3.785196		3.78675		40.10175		11.9456		12.23166		23.00446		23.01298		79.52961		54.08631		54		12.23166		40.00169		40		23.01034		98.35529		98.0402		54.87522		52.87526		52.90776		61.34803		35.30374		35.3		98.3198		48.50966		48.51		52.80115
120		3.788223		3.78675		40.25331		11.85375		11.97763		23.0642		23.01295		79.4903		53.99812		54		11.97763		39.96635		40		22.98916		98.35923		98.30868		54.94509		52.78258		52.91803		60.31763		35.30345		35.3		98.31722		48.50911		48.51		52.7957
123		3.788292		3.78675		40.25676		12.01846		12.06698		23.006		23.05272		79.55504		54.02916		54		12.06698		40.03135		40		23.02817		98.18792		98.69766		55.08789		52.78555		52.91905		60.33651		35.28771		35.3		98.09135		48.50312		48.51		52.73577
126		3.786597		3.78675		40.17267		12.03		12.07678		23.01779		23.0286		79.5324		54.03254		54		12.07678		40.00989		40		23.01533		98.17082		98.6094		55.07257		52.79232		52.82289		61.36535		35.29481		35.3		98.19368		48.50833		48.51		52.78784
129		3.787596		3.78675		40.22257		11.99528		12.04036		23.04215		23.04117		79.52434		54.01995		54		12.04036		39.9767		40		22.99543		98.25198		98.38017		54.99728		52.83625		52.81408		61.89242		35.29574		35.3		98.20737		48.50744		48.51		52.77893
132		3.784359		3.78675		40.06077		12.08632		12.02694		23.01428		23.00814		79.5212		54.01531		54		12.02694		40.02399		40		23.02383		98.13079		98.33703		55.01788		52.83439		52.64636		63.55361		35.29737		35.3		98.23117		48.52676		48.51		52.97215
