Trend data for Model:	
Model time base:		3
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.78727		3.78675		40.1636		12.14561		12.23797		55.83744		22.98912		22.98903		79.50731		54.08478		54		12.23797		39.89679		40		23.01025		98.31547		98.34341		55.2167		52.86611		52.95271		57.69082		35.30019		35.3		98.28306		48.51133		48.51		52.81382
3		3.788245		3.78675		40.44823		12.06733		12.06062		55.73862		23.03976		23.04911		79.52431		54.02311		54		12.06062		39.88736		40		23.00446		98.26595		98.42422		55.23718		52.77367		52.90638		55.45078		35.30297		35.3		98.32327		48.4939		48.51		52.63958
6		3.787245		3.78675		40.15665		12.28893		11.83732		55.30195		23.04161		23.00568		79.47599		53.94547		54		11.83732		39.90608		40		23.01554		98.16879		97.982		55.17961		52.86746		52.84467		62.87469		35.30633		35.3		98.37227		48.50553		48.51		52.75589
9		3.788175		3.78675		40.42833		12.12901		12.12374		55.73223		23.0299		22.99667		79.47413		54.04478		54		12.12374		39.95587		40		23.04523		98.29634		98.24843		55.20606		52.89371		52.82361		65.12281		35.29454		35.3		98.20303		48.52206		48.51		52.92129
12		3.78635		3.78675		39.8964		12.06526		11.84063		55.52665		23.01011		22.998		79.4908		53.94632		54		11.84063		39.90615		40		23.01524		98.34001		98.36508		55.21744		52.88029		52.72352		69.34145		35.30632		35.3		98.37247		48.52118		48.51		52.91254
15		3.789557		3.78675		40.83203		12.13176		12.07565		55.72033		23.04298		22.99624		79.45046		54.02775		54		12.07565		39.90919		40		23.01688		98.38363		98.44824		55.2252		52.75722		52.69962		64.61813		35.29346		35.3		98.1874		48.51917		48.51		52.89249
18		3.788308		3.78675		40.46784		12.17883		12.33008		55.93355		22.98594		22.99404		79.50235		54.11596		54		12.33008		39.86553		40		22.99053		98.17424		98.22861		55.21471		52.74972		52.7951		59.66795		35.31782		35.3		98.53719		48.50994		48.51		52.8002
21		3.786534		3.78675		39.95094		12.02612		12.30482		56.04149		22.98714		22.99231		79.5012		54.10708		54		12.30482		39.86714		40		22.99131		98.39613		98.29618		55.19862		52.83535		52.94237		56.68022		35.28141		35.3		98.01438		48.51068		48.51		52.80764
24		3.787843		3.78675		40.33282		12.13865		12.18834		55.81371		23.03224		23.00263		79.46744		54.06652		54		12.18834		39.91017		40		23.01698		98.25307		98.21723		55.20544		52.7779		52.74047		63.70367		35.30167		35.3		98.30564		48.52449		48.51		52.94577
27		3.787979		3.78675		40.37277		12.06901		12.06868		55.7591		22.98896		23.02109		79.52069		54.02485		54		12.06868		39.88155		40		22.99964		98.28047		98.13558		55.18397		52.74444		52.91921		53.42581		35.28446		35.3		98.05668		48.5075		48.51		52.776
30		3.788035		3.78675		40.38943		12.13955		12.14346		55.76869		22.97476		23.00114		79.51607		54.05069		54		12.14346		39.87518		40		22.99565		98.27441		98.21929		55.19324		52.7529		52.93126		53.17734		35.30397		35.3		98.33693		48.50694		48.51		52.77046
33		3.787329		3.78675		40.18369		12.01161		12.24648		56.00606		23.0199		23.00195		79.4753		54.0863		54		12.24648		39.87795		40		22.99716		98.40671		98.10571		55.16169		52.83414		52.79492		63.54313		35.29386		35.3		98.19237		48.50869		48.51		52.78803
36		3.787841		3.78675		40.3334		12.14919		12.02142		55.6603		23.01445		22.97686		79.45356		54.00802		54		12.02142		39.88774		40		23.00286		98.21988		98.23057		55.20895		52.80537		52.86051		59.02671		35.2995		35.3		98.27279		48.49189		48.51		52.62017
39		3.788199		3.78675		40.43811		12.07342		12.15726		55.87425		23.0517		23.01537		79.4531		54.05506		54		12.15726		39.88777		40		23.0027		98.32983		98.01623		55.15378		52.85558		52.81274		63.73896		35.30573		35.3		98.36261		48.51945		48.51		52.89572
42		3.786638		3.78675		39.98317		12.0123		12.16754		55.94284		22.99747		22.96451		79.45438		54.05848		54		12.16754		39.85492		40		22.98282		98.2421		98.16584		55.19439		52.84898		52.66102		70.74263		35.30595		35.3		98.36576		48.52526		48.51		52.95391
45		3.786057		3.78675		39.81405		12.09118		11.95439		55.61899		22.97978		23.00581		79.51437		53.98436		54		11.95439		39.92134		40		23.0225		98.29575		97.94631		55.14915		52.85214		52.69905		69.10873		35.32034		35.3		98.57266		48.50743		48.51		52.77559
48		3.786806		3.78675		40.03278		12.11623		12.15354		55.77519		23.01349		22.99929		79.47636		54.05338		54		12.15354		39.90949		40		23.01522		98.33944		98.40863		55.21673		52.8077		53.15731		44.99909		35.31707		35.3		98.52481		48.51842		48.51		52.88554
51		3.787721		3.78675		40.30008		12.09598		12.0372		55.65234		22.98437		23.00242		79.50607		54.01293		54		12.0372		39.87869		40		22.99657		98.28412		98.50343		55.23948		52.86572		52.94943		57.7718		35.30764		35.3		98.38873		48.50698		48.51		52.77115
54		3.79012		3.78675		41.00005		12.05474		12.06797		55.72671		22.97369		23.0063		79.52222		54.02351		54		12.06797		39.8958		40		23.00667		98.28312		98.30078		55.1992		52.80961		52.99282		53.00431		35.31666		35.3		98.51819		48.5145		48.51		52.84642
57		3.786997		3.78675		40.08937		12.1151		11.83827		55.43732		23.01562		22.992		79.47049		53.94369		54		11.83827		39.85835		40		22.98403		98.24038		98.23684		55.19401		52.79673		52.77683		62.72755		35.30935		35.3		98.41302		48.50117		48.51		52.71323
60		3.788064		3.78675		40.40127		12.21742		12.1483		55.6401		23.01368		23.02232		79.50232		54.05118		54		12.1483		39.90863		40		23.01404		98.1792		98.17141		55.20305		52.82208		52.70049		67.55195		35.30321		35.3		98.32578		48.4932		48.51		52.63352
63		3.785498		3.78675		39.65318		12.09015		11.8557		55.46534		22.97908		23.01337		79.52462		53.94948		54		11.8557		39.95745		40		23.04316		98.4088		98.29578		55.18756		52.79979		52.73308		64.89892		35.29428		35.3		98.19751		48.52389		48.51		52.94045
66		3.784757		3.78675		39.43714		12.11143		12.39212		55.98639		22.99033		22.97454		79.47005		54.13559		54		12.39212		39.82273		40		22.96213		98.21908		98.41036		55.23965		52.75909		52.68756		65.06666		35.29819		35.3		98.25462		48.52695		48.51		52.97115
69		3.78461		3.78675		39.39449		12.12011		12.05126		55.62957		23.04563		23.01062		79.44684		54.01716		54		12.05126		39.86872		40		22.98954		98.32133		97.94695		55.14242		52.89173		52.8853		61.89353		35.28709		35.3		98.0942		48.49414		48.51		52.6431
72		3.784671		3.78675		39.41259		12.07651		12.13317		55.76659		23.02363		22.9871		79.44253		54.04547		54		12.13317		39.84506		40		22.97516		98.31421		98.48403		55.23003		52.79902		52.78619		62.17922		35.30319		35.3		98.32563		48.52533		48.51		52.95505
75		3.788149		3.78675		40.42706		12.2219		12.23876		55.77605		22.96977		23.0162		79.52588		54.08193		54		12.23876		39.91442		40		23.01662		98.19845		98.16365		55.19463		52.79972		52.99905		51.97461		35.29892		35.3		98.26361		48.52369		48.51		52.93875
78		3.788537		3.78675		40.54077		12.14927		12.1678		55.77021		22.98381		23.00852		79.50627		54.05718		54		12.1678		39.89708		40		23.00606		98.29405		98.57002		55.25379		52.93193		53.00539		57.9881		35.30096		35.3		98.29365		48.50968		48.51		52.79884
81		3.787588		3.78675		40.26424		12.16804		12.0339		55.60814		23.00861		22.95871		79.43399		54.01062		54		12.0339		39.88107		40		22.99626		98.22588		98.24038		55.20605		52.87919		52.96343		57.55947		35.28787		35.3		98.10421		48.52016		48.51		52.90375
84		3.789055		3.78675		40.69242		12.18251		12.09121		55.61515		22.96915		22.98698		79.49299		54.0304		54		12.09121		39.86094		40		22.98401		98.12221		98.12928		55.20403		52.86211		52.76483		66.33919		35.29932		35.3		98.2679		48.49955		48.51		52.69753
87		3.788215		3.78675		40.44729		12.11692		11.91874		55.48885		23.05209		23.02353		79.45253		53.97044		54		11.91874		39.8816		40		22.99623		98.25552		98.20656		55.18364		52.74409		52.84084		57.0189		35.3135		35.3		98.47021		48.507		48.51		52.77199
90		3.786735		3.78675		40.01581		12.08904		12.06015		55.67106		22.9868		22.9804		79.47381		54.01939		54		12.06015		39.88957		40		23.00083		98.22543		97.91334		55.13897		52.71994		52.96012		50.12244		35.29769		35.3		98.24225		48.50414		48.51		52.74335
93		3.78579		3.78675		39.74068		12.12444		12.05589		55.64591		22.93704		22.99076		79.53315		54.01775		54		12.05589		39.83511		40		22.96799		98.26813		98.22678		55.18183		52.76166		52.8669		56.44959		35.29562		35.3		98.21188		48.51404		48.51		52.84248
96		3.78678		3.78675		40.02949		12.10918		11.95332		55.55602		23.05444		23.01057		79.44379		53.98201		54		11.95332		39.83916		40		22.97024		98.24667		98.15229		55.16814		52.85823		52.88719		60.13146		35.28937		35.3		98.12042		48.50919		48.51		52.79395
99		3.787368		3.78675		40.20112		12.04598		11.71815		55.35777		23.0112		22.94823		79.42495		53.90027		54		11.71815		39.90627		40		23.01033		98.3172		98.07932		55.15099		52.91034		52.92227		61.06892		35.31289		35.3		98.46014		48.5096		48.51		52.7981
102		3.788711		3.78675		40.59322		12.17611		12.10067		55.62531		22.94959		23.0188		79.54319		54.03294		54		12.10067		39.91435		40		23.01501		98.24167		98.37361		55.21506		52.8898		52.73559		69.12625		35.32087		35.3		98.57601		48.52682		48.51		52.97033
105		3.788912		3.78675		40.65178		12.07787		12.19396		55.82878		23.04871		22.98509		79.42104		54.06519		54		12.19396		39.92818		40		23.02312		98.26628		98.26506		55.18912		52.83509		52.90505		58.42218		35.30952		35.3		98.41132		48.50205		48.51		52.72261
108		3.789461		3.78675		40.81197		12.21912		12.1645		55.6579		23.00957		22.98972		79.45387		54.05485		54		12.1645		39.8554		40		22.97926		98.07542		98.30367		55.22079		52.73428		52.83859		56.78107		35.29357		35.3		98.18016		48.52087		48.51		52.91078
111		3.789281		3.78675		40.75984		12.16663		11.99782		55.51181		23.00464		23.00896		79.47848		53.99693		54		11.99782		39.90933		40		23.01145		98.15559		98.04488		55.16582		52.80017		52.97345		53.4274		35.3259		35.3		98.64622		48.51693		48.51		52.87144
114		3.78722		3.78675		40.15911		12.23487		11.99172		55.42606		22.99564		23.00238		79.47972		53.99473		54		11.99172		39.86055		40		22.98198		98.25835		98.11085		55.16243		52.80829		52.81183		61.47292		35.29678		35.3		98.22696		48.53488		48.51		53.05106
117		3.786353		3.78675		39.90645		12.07824		12.19449		55.80748		22.98037		22.9778		79.46817		54.06499		54		12.19449		39.88748		40		22.99795		98.25761		98.38536		55.20291		52.83858		52.91719		57.89158		35.29333		35.3		98.17635		48.51468		48.51		52.84909
120		3.785944		3.78675		39.78727		12.19986		12.10385		55.58756		23.0134		22.99701		79.45144		54.03343		54		12.10385		39.84278		40		22.97094		98.28765		98.38136		55.20246		52.81211		52.88892		58.00697		35.28783		35.3		98.09795		48.52224		48.51		52.92477
123		3.787071		3.78675		40.11616		12.29922		12.2824		55.65009		22.97145		22.96638		79.45938		54.09531		54		12.2824		39.83316		40		22.96495		98.19501		98.18741		55.19076		52.85077		52.6827		69.76316		35.29024		35.3		98.13329		48.49529		48.51		52.65533
126		3.787922		3.78675		40.36472		12.12352		12.13711		55.70468		22.99863		23.00316		79.4654		54.04471		54		12.13711		39.87937		40		22.99248		98.3216		98.56238		55.23806		52.84829		52.76873		65.52072		35.29679		35.3		98.22872		48.5226		48.51		52.92844
