Trend data for Model:	
Model time base:		3
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.787051		3.78675		40.19946		11.97687		12.036		55.34755		22.06108		22.01714		77.19064		54.02251		54		12.036		39.59833		40		21.97319		98.17159		98.30158		54.96831		52.82526		52.72106		62.68986		35.30896		35.3		98.38891		48.51642		48.51		52.86839
3		3.787414		3.78675		40.21768		11.9537		12.00911		55.34555		22.04198		22.00224		77.17543		54.01321		54		12.00911		39.68733		40		22.0261		98.32072		98.35175		54.94676		52.82815		53.0884		59.04211		35.30612		35.3		98.34903		48.51074		48.51		52.81177
6		3.786734		3.78675		40.18355		11.97762		11.82721		55.29581		22.03672		22.03377		77.20029		53.95004		54		11.82721		39.67046		40		22.0155		98.20015		98.58512		55.03774		52.78235		52.91704		60.29591		35.30032		35.3		98.26608		48.50059		48.51		52.71031
9		3.786696		3.78675		40.18162		11.99261		12.02883		55.34306		22.08839		22.03463		77.14619		54.02005		54		12.02883		39.66406		40		22.01121		98.27668		98.25207		54.9344		52.79068		52.68726		62.67719		35.2806		35.3		97.98077		48.50242		48.51		52.72853
12		3.785879		3.78675		40.14105		11.95128		11.9443		55.33386		22.04076		22.02582		77.18038		53.9907		54		11.9443		39.70713		40		22.03661		98.13005		98.07076		54.92592		52.7815		52.69888		62.46788		35.28903		35.3		98.10206		48.52703		48.51		52.97472
15		3.787957		3.78675		40.24527		11.95111		12.04059		55.3604		22.04905		22.01277		77.15581		54.02409		54		12.04059		39.68938		40		22.02551		98.16557		98.19133		54.94961		52.76949		52.7983		61.35241		35.29723		35.3		98.22062		48.51074		48.51		52.81183
18		3.788602		3.78675		40.27812		11.95601		11.77565		55.29275		22.06542		22.06874		77.19235		53.9321		54		11.77565		39.70074		40		22.03189		98.28172		98.33739		54.95898		52.77527		52.81355		61.2584		35.28423		35.3		98.0335		48.50287		48.51		52.73311
21		3.788172		3.78675		40.25646		11.92916		11.94349		55.34215		22.0938		22.03569		77.12807		53.99037		54		11.94349		39.68787		40		22.02374		98.3193		98.50982		54.99367		52.78527		52.86433		60.85116		35.29999		35.3		98.26068		48.50857		48.51		52.79007
24		3.785784		3.78675		40.13715		11.92176		11.82617		55.3182		22.02476		22.06189		77.2231		53.94957		54		11.82617		39.7371		40		22.05286		98.32299		98.23543		54.92528		52.83583		52.8956		61.04265		35.30285		35.3		98.30192		48.52801		48.51		52.9846
27		3.788857		3.78675		40.29111		11.96214		12.10946		55.38244		21.99695		22.06732		77.25194		54.0479		54		12.10946		39.69832		40		22.02919		98.19149		98.54501		55.03581		52.7895		52.78147		61.71904		35.3216		35.3		98.57268		48.50473		48.51		52.75185
30		3.788157		3.78675		40.25625		11.95223		11.62844		55.26541		22.123		22.06572		77.1223		53.88086		54		11.62844		39.71787		40		22.04052		98.34575		97.96798		54.85476		52.80477		52.83494		61.34099		35.30649		35.3		98.35544		48.51236		48.51		52.82801
33		3.787959		3.78675		40.24662		12.00077		12.19477		55.39897		22.06342		22.04042		77.15413		54.07744		54		12.19477		39.73897		40		22.05278		98.21202		98.19811		54.94464		52.84792		52.78413		62.27824		35.31		35.3		98.40564		48.51311		48.51		52.83554
36		3.787889		3.78675		40.24292		11.96656		11.88453		55.33095		22.1026		22.05615		77.13209		53.96971		54		11.88453		39.75179		40		22.06008		98.28439		98.14396		54.91274		52.8054		52.92852		60.40742		35.28643		35.3		98.06572		48.51121		48.51		52.81672
39		3.787344		3.78675		40.2157		11.96465		12.09923		55.387		22.07498		22.07291		77.18108		54.04423		54		12.09923		39.79527		40		22.08581		98.18431		98.26926		54.96685		52.78898		52.73001		62.22704		35.30166		35.3		98.28416		48.51288		48.51		52.83342
42		3.78727		3.78675		40.2119		12.00284		11.80996		55.3063		22.07094		22.09776		77.21013		53.94377		54		11.80996		39.77917		40		22.07578		98.19692		98.12642		54.93015		52.80696		52.85791		61.12628		35.30441		35.3		98.32479		48.52089		48.51		52.91366
45		3.787557		3.78675		40.22632		11.93426		12.01474		55.37764		22.06206		22.07222		77.19822		54.0148		54		12.01474		39.77636		40		22.07373		98.26541		98.20442		54.93278		52.83712		52.90597		60.95117		35.30169		35.3		98.28542		48.51296		48.51		52.83425
48		3.785756		3.78675		40.13613		11.93492		11.82058		55.33355		22.01017		22.05453		77.23912		53.94729		54		11.82058		39.79582		40		22.08506		98.26228		98.33819		54.97052		52.82664		52.74236		62.48459		35.31482		35.3		98.47589		48.50904		48.51		52.79495
51		3.786907		3.78675		40.1938		11.95817		12.15747		55.41377		22.01607		22.07697		77.26836		54.06425		54		12.15747		39.74177		40		22.05229		98.36064		98.39505		54.96408		52.80328		52.76175		62.05819		35.29823		35.3		98.23816		48.50888		48.51		52.79334
54		3.786569		3.78675		40.17694		12.02952		12.03924		55.36958		22.07893		22.07156		77.21053		54.02314		54		12.03924		39.73094		40		22.04545		98.20387		98.19792		54.95522		52.84862		52.85837		61.54749		35.29971		35.3		98.25971		48.51195		48.51		52.82403
57		3.785488		3.78675		40.12311		11.95613		12.07527		55.40062		22.09689		22.0859		77.2069		54.03557		54		12.07527		39.81481		40		22.09545		98.22676		98.46403		55.01752		52.79228		52.70513		62.51854		35.2954		35.3		98.19753		48.51277		48.51		52.83215
60		3.788159		3.78675		40.25714		11.94154		12.17624		55.43336		22.09832		22.10752		77.22644		54.07055		54		12.17624		39.80295		40		22.08803		98.18861		98.47345		55.03346		52.78244		52.8416		61.05607		35.31533		35.3		98.48617		48.51331		48.51		52.8376
63		3.786243		3.78675		40.16137		11.98113		11.86915		55.34835		21.97908		22.0739		77.32421		53.9639		54		11.86915		39.79546		40		22.08324		98.33491		98.33524		54.96655		52.82265		52.85753		61.30023		35.30894		35.3		98.39558		48.48601		48.51		52.56443
66		3.785154		3.78675		40.10677		11.966		11.95054		55.37558		22.09441		22.07849		77.21361		53.99209		54		11.95054		39.78234		40		22.07506		98.27428		98.21859		54.95558		52.75882		52.81281		61.10916		35.30536		35.3		98.3449		48.50885		48.51		52.79294
69		3.786889		3.78675		40.19371		12.0219		12.12066		55.40656		22.06982		22.09144		77.25795		54.05112		54		12.12066		39.81758		40		22.09592		98.17297		98.26462		54.99458		52.8424		52.62519		63.82283		35.31361		35.3		98.46442		48.51965		48.51		52.90086
72		3.787148		3.78675		40.20654		12.0518		11.98856		55.36982		22.05998		22.1022		77.28993		54.00517		54		11.98856		39.76921		40		22.06664		98.19566		98.02886		54.93124		52.80569		52.84523		61.25774		35.28901		35.3		98.10977		48.52075		48.51		52.91184
75		3.786341		3.78675		40.16622		11.97991		12.25325		55.45997		22.10406		22.11661		77.26598		54.09695		54		12.25325		39.80854		40		22.08998		98.28907		98.13417		54.93281		52.8154		52.7103		62.70436		35.30455		35.3		98.33277		48.48808		48.51		52.58505
78		3.787486		3.78675		40.2234		11.95906		11.78873		55.35065		22.07242		22.09583		77.28311		53.93562		54		11.78873		39.87476		40		22.12944		98.16358		98.21998		54.9875		52.84121		52.70853		62.98039		35.30674		35.3		98.36449		48.49607		48.51		52.66489
81		3.786044		3.78675		40.15129		11.98019		12.22933		55.46181		22.13143		22.10203		77.23848		54.08845		54		12.22933		39.812		40		22.09153		98.31043		98.32109		54.97553		52.79065		52.76372		61.9231		35.30195		35.3		98.29474		48.50091		48.51		52.7132
84		3.784411		3.78675		40.06961		11.92844		11.91269		55.3984		22.09513		22.1383		77.32227		53.97845		54		11.91269		39.91089		40		22.15063		98.28249		98.18132		54.95061		52.76887		52.77149		61.62672		35.27447		35.3		97.89945		48.51537		48.51		52.85786
87		3.787962		3.78675		40.24732		11.9861		11.79098		55.35614		22.05218		22.10906		77.33746		53.93612		54		11.79098		39.82174		40		22.09689		98.05343		98.36234		55.05556		52.81374		52.8224		61.56484		35.30314		35.3		98.3132		48.52284		48.51		52.9326
90		3.789062		3.78675		40.30236		11.99613		11.88225		55.37637		22.10264		22.10758		77.29795		53.96779		54		11.88225		39.83856		40		22.10676		98.23628		98.08048		54.93976		52.76659		52.74328		61.88421		35.2787		35.3		97.96075		48.49533		48.51		52.65744
93		3.785924		3.78675		40.14553		12.00084		12.02912		55.4143		22.13806		22.1261		77.28781		54.01874		54		12.02912		39.86022		40		22.11954		98.30256		98.49308		55.02431		52.80071		52.73748		62.28356		35.31015		35.3		98.41328		48.50372		48.51		52.7414
96		3.786679		3.78675		40.18284		11.99122		12.12785		55.44524		22.13157		22.09784		77.26874		54.05293		54		12.12785		39.86081		40		22.11969		98.27269		98.29028		54.98127		52.76527		52.85787		60.72583		35.3071		35.3		98.3691		48.50356		48.51		52.73983
99		3.786604		3.78675		40.17906		11.96494		11.91173		55.39899		22.11838		22.14218		77.33364		53.97785		54		11.91173		39.84506		40		22.11005		98.24593		98.08343		54.93496		52.78009		52.91905		60.26145		35.30481		35.3		98.335		48.51949		48.51		52.89908
102		3.787539		3.78675		40.22569		11.9882		12.11875		55.44904		22.10195		22.129		77.34225		54.04964		54		12.11875		39.87508		40		22.12787		98.21295		98.24201		54.98266		52.80745		52.77772		61.95		35.29963		35.3		98.25977		48.51779		48.51		52.88204
105		3.785693		3.78675		40.13332		11.97831		12.01499		55.426		22.10409		22.14101		77.35402		54.01359		54		12.01499		39.86111		40		22.11929		98.23248		98.13144		54.95382		52.81714		52.96855		60.13895		35.293		35.3		98.16532		48.51456		48.51		52.84982
108		3.785923		3.78675		40.14464		12.00924		12.05087		55.43396		22.06268		22.11974		77.37733		54.02589		54		12.05087		39.8682		40		22.12337		98.27919		98.23553		54.96947		52.81025		53.00301		59.72577		35.31242		35.3		98.44577		48.5242		48.51		52.94613
111		3.786885		3.78675		40.19304		12.01897		11.96497		55.41258		22.16144		22.15635		77.32795		53.99601		54		11.96497		39.85694		40		22.11645		98.19358		98.00207		54.93355		52.83503		52.93101		60.69146		35.30758		35.3		98.3761		48.52121		48.51		52.91631
114		3.787119		3.78675		40.20512		11.98853		12.02232		55.43429		22.12258		22.12385		77.34217		54.0159		54		12.02232		39.89712		40		22.14038		98.1646		98.26152		55.00725		52.82056		52.94734		60.38236		35.30325		35.3		98.31387		48.52049		48.51		52.90914
117		3.78598		3.78675		40.14774		12.06164		11.82797		55.36535		22.13666		22.09505		77.30392		53.94843		54		11.82797		39.887		40		22.13416		98.3144		98.4151		55.01159		52.81974		52.8449		61.39996		35.27891		35.3		97.96394		48.52116		48.51		52.91582
120		3.787418		3.78675		40.21972		12.02767		11.87716		55.38893		22.15958		22.14498		77.336		53.96544		54		11.87716		39.93106		40		22.16045		98.10661		98.60031		55.11146		52.75721		52.84554		60.76686		35.31297		35.3		98.45494		48.51673		48.51		52.87153
123		3.787781		3.78675		40.23769		12.03043		11.95998		55.41102		22.13092		22.17414		77.40152		53.99413		54		11.95998		39.88134		40		22.13049		98.34878		98.08208		54.92371		52.74008		52.89322		60.11945		35.30769		35.3		98.37953		48.50119		48.51		52.71609
126		3.788971		3.78675		40.2972		12.00887		12.11658		55.46179		22.14818		22.13392		77.34732		54.04835		54		12.11658		39.85646		40		22.11541		98.17267		98.17769		54.99326		52.80008		52.94184		60.23222		35.32389		35.3		98.61341		48.50897		48.51		52.79391
