Trend data for Model:	
Model time base:		3
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.03401		79.52148		53.98228		54		11.93585		40.0258		40		23.03401		98.22828		97.9874		54.93191		52.80363		52.70587		62.65106		35.31006		35.3		97.9874		48.52017		48.51		52.70587
3		3.787923		3.78675		40.0747		11.68178		12.15808		54.68685		23.02555		22.97937		79.48089		54.05956		54		12.15808		39.99348		40		23.01461		98.47644		97.93483		54.83057		52.84242		52.75964		61.95314		35.30023		35.3		97.8479		48.51165		48.51		52.82084
6		3.787966		3.78675		40.08766		11.57833		12.01389		54.82265		23.01993		23.0346		79.53914		54.00958		54		12.01389		40.03468		40		23.03933		98.50643		98.00665		54.79478		52.92713		52.93094		57.87059		35.30313		35.3		97.89331		48.50524		48.51		52.75691
9		3.788142		3.78675		40.13968		11.67225		11.92988		54.80845		23.01483		23.02042		79.5325		53.9805		54		11.92988		40.00251		40		23.02004		98.4019		98.03533		54.7761		52.89065		52.75783		64.48523		35.30372		35.3		97.9048		48.50059		48.51		52.71046
12		3.788013		3.78675		40.10238		11.92803		11.83554		54.57747		23.01476		23.00296		79.51668		53.9478		54		11.83554		39.98803		40		23.01136		98.19377		97.96487		54.76762		52.8657		52.80951		60.81951		35.31218		35.3		98.02951		48.5168		48.51		52.87277
15		3.789924		3.78675		40.66044		11.81917		11.82079		54.76224		23.06842		23.01879		79.48231		53.94275		54		11.82079		40.02735		40		23.03497		98.25998		98.08774		54.75678		52.90309		52.90528		58.09812		35.30223		35.3		97.88991		48.52042		48.51		52.90907
18		3.787512		3.78675		39.95762		11.81307		11.95075		54.96568		23.01725		23.03339		79.53996		53.98795		54		11.95075		40.0161		40		23.02821		98.23231		98.13536		54.74423		52.94621		52.823		64.1345		35.31414		35.3		98.06384		48.51862		48.51		52.8913
21		3.789293		3.78675		40.47763		11.78146		11.96505		55.0684		23.01719		23.00501		79.51064		53.99303		54		11.96505		39.95416		40		22.99103		98.25245		98.28761		54.73932		52.9066		52.777		64.5438		35.31835		35.3		98.12678		48.51518		48.51		52.85693
24		3.789184		3.78675		40.44622		11.85681		11.96082		55.05144		23.0234		22.97168		79.47068		53.99163		54		11.96082		39.99699		40		23.01671		98.06663		98.07506		54.72		52.94564		52.91798		59.69114		35.30468		35.3		97.93376		48.50713		48.51		52.77657
27		3.787341		3.78675		39.9094		11.80457		11.85365		54.99136		23.02035		22.98118		79.4815		53.95457		54		11.85365		40.00608		40		23.02216		98.17516		97.93267		54.66381		52.93365		53.01052		54.75538		35.30917		35.3		98.00167		48.50994		48.51		52.80483
30		3.789011		3.78675		40.39688		11.80875		11.81303		55.02174		23.01852		23.00703		79.50114		53.94057		54		11.81303		39.98353		40		23.00861		98.23573		98.39771		54.71024		52.90719		52.91188		58.2314		35.30454		35.3		97.93754		48.52583		48.51		52.9639
33		3.788824		3.78675		40.34276		11.83666		11.75308		54.9773		23.03071		23.00808		79.49322		53.91981		54		11.75308		39.98845		40		23.01159		98.19087		97.98435		54.63634		52.94922		52.79917		65.72105		35.32315		35.3		98.20826		48.51556		48.51		52.86129
36		3.788341		3.78675		40.20264		11.82404		11.77148		55.04375		22.9634		23.04569		79.58401		53.92629		54		11.77148		40.07103		40		23.06112		98.1619		97.92359		54.62476		52.89638		52.94818		56.1025		35.31316		35.3		98.06876		48.50582		48.51		52.76408
39		3.788043		3.78675		40.11601		11.90218		12.01211		55.25589		23.07343		23.04143		79.48285		54.00987		54		12.01211		40.04617		40		23.04623		98.07175		97.94747		54.63056		52.87614		52.83526		60.60573		35.32184		35.3		98.19654		48.51473		48.51		52.85325
42		3.788185		3.78675		40.15775		11.94991		11.8389		55.05266		23.0251		23.03014		79.51887		53.94979		54		11.8389		39.97359		40		23.00269		98.06478		98.02927		54.63931		52.96316		52.65331		73.57361		35.30328		35.3		97.93179		48.51812		48.51		52.8872
45		3.78877		3.78675		40.32891		12.01402		11.88231		55.05637		23.0463		23.05657		79.52538		53.96488		54		11.88231		40.00787		40		23.02329		98.00423		98.00279		54.63793		52.98056		52.98131		58.86674		35.30779		35.3		97.99884		48.51718		48.51		52.87788
48		3.788534		3.78675		40.26067		11.88138		11.84769		55.16599		22.9717		23.03343		79.57358		53.95292		54		11.84769		39.9956		40		23.01594		97.98663		98.11017		54.6603		52.96911		52.88582		62.97931		35.31043		35.3		98.04094		48.52228		48.51		52.92903
51		3.787844		3.78675		40.06002		11.86947		11.83431		55.13969		23.02533		22.9981		79.49216		53.94839		54		11.83431		40.07252		40		23.0621		98.09637		98.04694		54.62892		52.93202		52.86722		62.23883		35.29224		35.3		97.78175		48.51932		48.51		52.89946
54		3.788344		3.78675		40.20611		11.95756		11.97068		55.18219		23.0341		23.01418		79.49574		53.99586		54		11.97068		40.00974		40		23.02444		97.98661		98.18264		54.66604		52.98038		52.95096		60.6132		35.31017		35.3		98.04313		48.5162		48.51		52.86835
57		3.78749		3.78675		39.95748		11.93979		12.03279		55.27654		22.94536		23.01411		79.5793		54.0175		54		12.03279		39.97554		40		23.00394		98.06128		97.8853		54.60171		52.91638		52.84282		62.80943		35.30074		35.3		97.91081		48.52244		48.51		52.93094
60		3.788849		3.78675		40.35449		11.82563		11.57364		54.95357		23.00721		22.99437		79.51079		53.85815		54		11.57364		40.03858		40		23.04177		98.06439		98.29329		54.66417		52.97052		52.95534		60.096		35.34046		35.3		98.48593		48.51252		48.51		52.83184
63		3.788417		3.78675		40.22914		12.01095		11.97901		55.17927		23.01209		23.03065		79.54085		53.99898		54		11.97901		40.0239		40		23.03298		98.03458		97.93558		54.60455		52.96135		52.91355		61.74023		35.28842		35.3		97.93558		48.52451		48.51		52.91355
66		3.789326		3.78675		40.49466		11.91939		11.91927		55.19149		23.0025		23.02047		79.54021		53.97828		54		11.91927		40.00456		40		23.0214		97.99401		97.93558		54.60424		53.00437		52.91355		63.8507		35.32229		35.3		97.93558		48.50833		48.51		52.91355
69		3.787453		3.78675		39.94902		11.8435		11.69381		55.02029		23.01559		23.02582		79.53495		53.90009		54		11.69381		40.04547		40		23.04597		98.11581		97.93558		54.57376		52.9008		52.91355		58.92967		35.3171		35.3		97.93558		48.5153		48.51		52.91355
72		3.786544		3.78675		39.68405		12.00024		11.91913		55.09796		22.97747		22.98257		79.5322		53.97836		54		11.91913		40.00552		40		23.02202		97.96404		97.93558		54.59016		52.96567		52.91355		62.06932		35.29584		35.3		97.93558		48.50491		48.51		52.91355
75		3.788112		3.78675		40.142		11.92503		11.93585		55.21026		23.02193		23.03419		79.54069		53.98422		54		11.93585		39.9989		40		23.01808		98.05994		97.93558		54.56529		52.90712		52.91355		59.29256		35.32972		35.3		97.93558		48.50793		48.51		52.91355
78		3.787083		3.78675		39.84243		11.97568		11.9533		55.17644		23.0036		23.00632		79.53269		53.99031		54		11.9533		40.01363		40		23.02693		97.97875		97.93558		54.57206		52.98226		52.91355		62.95381		35.3226		35.3		97.93558		48.51036		48.51		52.91355
81		3.787139		3.78675		39.85937		11.9295		11.8489		55.14803		22.96868		23.04749		79.60627		53.9541		54		11.8489		40.00441		40		23.02143		98.06389		97.93558		54.54541		52.95772		52.91355		61.81788		35.3215		35.3		97.93558		48.5161		48.51		52.91355
84		3.787635		3.78675		40.00443		11.88411		12.04329		55.39015		23.04845		23.04469		79.53706		54.02163		54		12.04329		39.98711		40		23.01109		98.06083		97.93558		54.54011		52.9681		52.91355		62.37233		35.31569		35.3		97.93558		48.52376		48.51		52.91355
87		3.788233		3.78675		40.17923		11.89722		11.84917		55.20833		22.99448		23.03281		79.57696		53.95426		54		11.84917		40.02578		40		23.03431		98.03837		97.93558		54.53671		52.99947		52.91355		63.90734		35.3234		35.3		97.93558		48.51128		48.51		52.91355
90		3.789446		3.78675		40.53369		11.85129		11.97556		55.3776		23.04882		23.01379		79.51344		53.99818		54		11.97556		40.05348		40		23.05096		98.00982		97.93558		54.53638		52.94438		52.91355		61.31304		35.3036		35.3		97.93558		48.51917		48.51		52.91355
93		3.788502		3.78675		40.25884		11.90936		11.97252		55.28369		22.97739		22.98902		79.55902		53.99721		54		11.97252		40.05694		40		23.0531		98.02287		97.93558		54.52991		52.93804		52.91355		61.03628		35.31677		35.3		97.93558		48.50999		48.51		52.91355
96		3.789309		3.78675		40.49452		12.03582		12.13291		55.34296		23.02557		23.06494		79.58893		54.05295		54		12.13291		40.01998		40		23.03098		97.87579		97.93558		54.54532		52.94088		52.91355		61.212		35.30287		35.3		97.93558		48.52386		48.51		52.91355
99		3.785974		3.78675		39.52266		11.95382		11.81944		55.0983		23.05336		23.05344		79.55643		53.94415		54		11.81944		40.01056		40		23.02539		97.98561		97.93558		54.5258		52.93181		52.91355		60.83366		35.33073		35.3		97.93558		48.51498		48.51		52.91355
102		3.788692		3.78675		40.31584		11.93948		11.97096		55.25632		23.07143		23.0281		79.51329		53.99683		54		11.97096		40.08812		40		23.07199		98.01455		97.93558		54.51416		52.96629		52.91355		62.52089		35.30094		35.3		97.93558		48.51349		48.51		52.91355
105		3.789801		3.78675		40.63984		11.78322		11.91432		55.34172		23.03487		23.05725		79.57699		53.97721		54		11.91432		40.04279		40		23.04486		98.07974		97.93558		54.49902		52.94378		52.91355		61.46981		35.30554		35.3		97.93558		48.50587		48.51		52.91355
108		3.789256		3.78675		40.4812		12.09276		11.98949		55.14786		23.06235		23.03746		79.53801		54.00327		54		11.98949		40.11388		40		23.08757		97.82876		97.93558		54.5375		52.93923		52.91355		61.28779		35.30896		35.3		97.93558		48.52		48.51		52.91355
111		3.788695		3.78675		40.31792		11.898		12.08839		55.46755		23.05835		23.07852		79.58123		54.03754		54		12.08839		40.03475		40		23.04017		97.91516		97.93558		54.52296		52.93597		52.91355		61.16796		35.31169		35.3		97.93558		48.52061		48.51		52.91355
114		3.78834		3.78675		40.21503		12.1017		12.12556		55.36165		23.05834		23.04719		79.55679		54.05041		54		12.12556		40.0445		40		23.04609		97.89596		97.93558		54.52215		52.93787		52.91355		61.27085		35.30703		35.3		97.93558		48.49769		48.51		52.91355
117		3.785893		3.78675		39.50164		12.05611		12.0555		55.34202		23.09844		23.01194		79.48653		54.02602		54		12.0555		40.04468		40		23.04626		97.88212		97.93558		54.52786		52.91226		52.91355		60.08228		35.31825		35.3		97.93558		48.509		48.51		52.91355
120		3.789043		3.78675		40.42101		11.95756		11.78106		55.1496		23.03224		23.03778		79.56984		53.93071		54		11.78106		40.06619		40		23.05924		97.93891		97.93558		54.52145		52.89784		52.91355		59.39563		35.32892		35.3		97.93558		48.52068		48.51		52.91355
123		3.788671		3.78675		40.31282		12.07113		12.24254		55.52283		23.02753		23.07857		79.6142		54.09088		54		12.24254		40.05876		40		23.05483		97.86669		97.93558		54.53327		52.92318		52.91355		60.63042		35.30367		35.3		97.93558		48.50855		48.51		52.91355
126		3.787057		3.78675		39.8428		11.98559		11.9771		55.35598		23.056		23.05589		79.57298		53.99867		54		11.9771		40.05667		40		23.05366		98.00958		97.93558		54.51045		52.97362		52.91355		63.09302		35.28757		35.3		97.93558		48.5208		48.51		52.91355
