Trend data for Model:	
Model time base:		3
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
3		3.786903		3.78675		39.77738		11.5707		12.00367		54.65327		23.01643		22.99693		79.49715		54.00587		54		12.00367		40.00171		40		23.01004		98.64771		98.47891		54.93162		52.91466		52.79235		63.85831		35.32419		35.3		98.61086		48.50405		48.51		52.74482
6		3.787541		3.78675		39.96367		11.64261		11.95862		54.70889		22.99584		23.00198		79.52163		53.99035		54		11.95862		40.01737		40		23.01943		98.4745		98.35548		54.92374		52.9042		52.85002		60.65748		35.30881		35.3		98.39156		48.51305		48.51		52.83498
9		3.788858		3.78675		40.34851		11.71523		11.92296		54.74029		23.01132		23.01506		79.51032		53.97808		54		11.92296		39.98038		40		22.99722		98.42528		98.7209		54.99619		53.00473		52.86643		64.77313		35.31801		35.3		98.52915		48.50289		48.51		52.73348
12		3.791162		3.78675		41.02072		11.71159		12.06943		55.00324		22.98627		22.9802		79.49815		54.02903		54		12.06943		39.97565		40		22.99436		98.34623		98.41452		54.95378		52.86295		52.8499		58.84708		35.31413		35.3		98.47664		48.49604		48.51		52.66511
15		3.788738		3.78675		40.3143		11.71502		12.03831		55.04789		23.02591		22.97427		79.4555		54.01831		54		12.03831		40.0092		40		23.0145		98.4435		98.45584		54.94242		52.87058		52.68538		67.17011		35.31179		35.3		98.44514		48.5188		48.51		52.89269
18		3.78813		3.78675		40.13781		11.86916		11.76553		54.72105		23.01711		23.00482		79.4934		53.92368		54		11.76553		40.00411		40		23.01145		98.38507		98.62838		54.99218		52.94733		53.05976		52.97173		35.31108		35.3		98.43987		48.51147		48.51		52.81954
21		3.788002		3.78675		40.10095		11.72318		11.88077		55.02664		22.94246		23.01838		79.57263		53.96385		54		11.88077		39.94143		40		22.97381		98.49828		98.4184		54.94226		52.88316		53.00585		52.44479		35.3125		35.3		98.464		48.49736		48.51		52.67866
24		3.787141		3.78675		39.85015		11.8934		11.65792		54.67868		23.01194		23.01866		79.50933		53.88665		54		11.65792		39.99783		40		23.00767		98.32998		98.3369		54.95606		52.92854		52.67184		70.60537		35.30753		35.3		98.395		48.5226		48.51		52.93124
27		3.786103		3.78675		39.5479		11.68645		12.03026		55.3213		23.02377		23.05299		79.53307		54.01606		54		12.03026		39.97791		40		22.99573		98.51859		98.3441		54.91929		53.01604		52.92433		62.80409		35.28716		35.3		98.10299		48.52147		48.51		52.92015
30		3.787461		3.78675		39.94446		11.76286		11.77976		55.0588		22.99382		22.97159		79.48253		53.9292		54		11.77976		39.99079		40		23.00347		98.40076		98.29422		54.93127		52.94313		52.74568		67.97356		35.28967		35.3		98.14134		48.52415		48.51		52.94707
33		3.788363		3.78675		40.208		11.88309		11.73587		54.89741		22.95765		23.00945		79.55136		53.91411		54		11.73587		39.983		40		22.9988		98.26202		98.28315		54.9596		52.915		53.1571		47.00257		35.32213		35.3		98.61157		48.53328		48.51		53.03853
36		3.785555		3.78675		39.38965		11.85629		12.00697		55.23768		23.03618		23.03839		79.50467		54.00836		54		12.00697		39.92405		40		22.96342		98.4518		98.35369		54.94471		52.98364		52.8939		62.95241		35.30514		35.3		98.3698		48.50642		48.51		52.77013
39		3.788739		3.78675		40.31866		11.80005		11.84113		55.15642		22.98254		23.00259		79.52085		53.95091		54		11.84113		39.98885		40		23.00231		98.41506		98.10325		54.90766		52.94407		52.83297		64.04423		35.31136		35.3		98.46102		48.52022		48.51		52.90835
42		3.789212		3.78675		40.45696		11.88446		11.76934		55.01675		23.03536		23.04806		79.51199		53.92609		54		11.76934		39.99296		40		23.00482		98.24974		98.28209		54.96474		52.91837		52.73057		67.77974		35.30655		35.3		98.39239		48.53881		48.51		53.09435
45		3.78622		3.78675		39.58496		11.77697		11.78807		55.11031		22.98687		23.03864		79.5545		53.93275		54		11.78807		39.98836		40		23.00208		98.36962		98.30718		54.96926		52.94963		52.98577		57.10708		35.2987		35.3		98.28407		48.52182		48.51		52.92461
48		3.786522		3.78675		39.67341		11.89888		12.08705		55.28906		23.00086		22.97806		79.4819		54.03671		54		12.08705		40.02508		40		23.02411		98.35077		98.45974		55.00396		52.96272		52.94972		59.56778		35.31116		35.3		98.46629		48.51134		48.51		52.81991
51		3.787399		3.78675		39.92942		11.78409		11.81117		55.09321		23.02657		23.01581		79.49049		53.94113		54		11.81117		39.98629		40		23.00085		98.44998		98.44591		54.99062		52.94899		52.75461		68.33005		35.32228		35.3		98.62896		48.50324		48.51		52.73907
54		3.785722		3.78675		39.4408		11.9724		11.9737		55.08041		22.98638		23.01054		79.51608		53.99767		54		11.9737		39.99457		40		23.00582		98.33026		98.43779		55.01579		52.8569		52.88711		57.56642		35.28589		35.3		98.10707		48.52859		48.51		52.99272
57		3.789253		3.78675		40.47134		11.78857		11.85263		55.15477		23.0089		23.01849		79.50263		53.95574		54		11.85263		40.01812		40		23.01995		98.46342		98.65351		55.03608		52.86269		52.83546		60.41008		35.3019		35.3		98.3408		48.51488		48.51		52.85565
60		3.789362		3.78675		40.50366		11.83098		11.72216		55.01485		23.00886		23.04331		79.52269		53.91055		54		11.72216		40.02911		40		23.02655		98.35087		98.51142		55.04163		52.92603		52.85164		62.71876		35.30899		35.3		98.44605		48.52161		48.51		52.92299
63		3.788485		3.78675		40.24856		11.86591		11.64129		54.86994		23.02047		23.03022		79.50039		53.88262		54		11.64129		40.02821		40		23.02603		98.40356		98.31562		55.00124		52.90618		52.78496		65.09203		35.30601		35.3		98.31562		48.51002		48.51		52.78496
66		3.787201		3.78675		39.87432		11.78819		11.75464		55.05864		23.00726		23.01941		79.5063		53.92211		54		11.75464		40.05756		40		23.04368		98.32859		98.31562		55.00971		52.87572		52.78496		63.71094		35.30954		35.3		98.31562		48.50393		48.51		52.78496
69		3.78825		3.78675		40.18088		11.85225		11.91194		55.13593		23.03485		23.04248		79.50719		53.97689		54		11.91194		40.051		40		23.03977		98.37649		98.31562		54.99609		52.88237		52.78496		64.08101		35.31758		35.3		98.31562		48.50991		48.51		52.78496
72		3.788617		3.78675		40.28867		11.63001		12.06658		55.51777		22.97903		23.02775		79.54174		54.03071		54		12.06658		40.00049		40		23.00947		98.55918		98.31562		54.95954		52.81131		52.78496		60.72742		35.31014		35.3		98.31562		48.5198		48.51		52.78496
75		3.789299		3.78675		40.4882		11.81686		11.72559		54.98521		23.0092		23.00326		79.49152		53.91253		54		11.72559		39.99556		40		23.00652		98.42168		98.31562		54.97183		52.83232		52.78496		61.78467		35.31758		35.3		98.31562		48.5028		48.51		52.78496
78		3.788854		3.78675		40.35883		11.76344		11.83726		55.13959		23.02357		23.0329		79.50917		53.95147		54		11.83726		40.01967		40		23.02101		98.38686		98.31562		54.97269		52.84133		52.78496		62.29649		35.32357		35.3		98.31562		48.50177		48.51		52.78496
81		3.78727		3.78675		39.89747		11.86253		11.77844		54.97428		23.03493		23.03344		79.49909		53.93123		54		11.77844		40.00283		40		23.01094		98.32693		98.31562		54.97657		52.83962		52.78496		62.25611		35.32793		35.3		98.31562		48.51764		48.51		52.78496
84		3.787478		3.78675		39.95874		11.69543		11.49513		54.82017		23.04852		22.98555		79.43834		53.83312		54		11.49513		40.03716		40		23.03155		98.48043		98.31562		54.94414		52.80314		52.78496		60.55421		35.31765		35.3		98.31562		48.52115		48.51		52.78496
87		3.788399		3.78675		40.22796		11.79077		11.70397		54.91629		23.04216		23.00463		79.45723		53.90583		54		11.70397		40.05594		40		23.04285		98.42738		98.31562		54.94653		52.78817		52.78496		59.88688		35.32908		35.3		98.31562		48.5246		48.51		52.78496
90		3.789449		3.78675		40.53506		11.86252		11.69025		54.8119		22.99709		23.0342		79.52365		53.9013		54		11.69025		39.9877		40		23.00194		98.37523		98.31562		54.94878		52.84268		52.78496		62.53046		35.31614		35.3		98.31562		48.51113		48.51		52.78496
93		3.788262		3.78675		40.18924		11.83995		11.87595		55.03646		23.03239		22.99611		79.44813		53.96592		54		11.87595		40.04506		40		23.03637		98.36581		98.31562		54.94324		52.84653		52.78496		62.75661		35.31409		35.3		98.31562		48.51502		48.51		52.78496
96		3.788222		3.78675		40.17801		11.85607		11.96293		55.11968		23.02792		23.00363		79.45206		53.99629		54		11.96293		39.98581		40		23.00082		98.26691		98.31562		54.95401		52.77956		52.78496		59.58294		35.30146		35.3		98.31562		48.51764		48.51		52.78496
99		3.789021		3.78675		40.41171		11.70079		11.58957		54.88372		22.99296		23.03769		79.5118		53.86687		54		11.58957		40.03378		40		23.02962		98.4044		98.31562		54.92552		52.84918		52.78496		62.94474		35.31162		35.3		98.31562		48.51808		48.51		52.78496
102		3.789444		3.78675		40.53554		11.76533		11.89069		55.16238		23.06523		23.0079		79.42629		53.97153		54		11.89069		40.01367		40		23.01757		98.38925		98.31562		54.92292		52.84699		52.78496		62.88154		35.3116		35.3		98.31562		48.50432		48.51		52.78496
105		3.78896		3.78675		40.39485		11.93316		11.95742		55.08246		23.00516		23.04825		79.51792		53.99476		54		11.95742		40.03297		40		23.0292		98.28726		98.31562		54.94209		52.8406		52.78496		62.60657		35.31263		35.3		98.31562		48.50121		48.51		52.78496
108		3.78843		3.78675		40.24079		11.64607		11.79048		55.17917		23.04239		23.02692		79.46828		53.93691		54		11.79048		40.0106		40		23.0158		98.50296		98.31562		54.90743		52.81619		52.78496		61.47247		35.32035		35.3		98.31562		48.51314		48.51		52.78496
111		3.789291		3.78675		40.49264		11.93002		11.86516		54.99272		23.00249		23.05463		79.53789		53.96296		54		11.86516		40.09451		40		23.0662		98.24351		98.31562		54.94945		52.75953		52.78496		58.76323		35.30532		35.3		98.31562		48.52571		48.51		52.78496
114		3.787736		3.78675		40.03975		11.82848		11.99357		55.19327		23.01501		23.03625		79.50906		54.00773		54		11.99357		39.98721		40		23.00184		98.3662		98.31562		54.92734		52.81095		52.78496		61.24779		35.31515		35.3		98.31562		48.51906		48.51		52.78496
117		3.787458		3.78675		39.95921		11.76977		11.85473		55.12466		22.99421		23.0407		79.53503		53.95966		54		11.85473		40.06806		40		23.05039		98.32916		98.31562		54.93151		52.74557		52.78496		58.13743		35.30288		35.3		98.31562		48.51215		48.51		52.78496
120		3.786309		3.78675		39.62455		11.83405		11.91312		55.1233		23.01436		23.00872		79.49467		53.98007		54		11.91312		39.99026		40		23.00375		98.27377		98.31562		54.93906		52.84076		52.78496		62.74298		35.30467		35.3		98.31562		48.5014		48.51		52.78496
123		3.787436		3.78675		39.95375		11.86542		11.80684		55.00272		22.98537		23.01011		79.52587		53.94332		54		11.80684		40.05991		40		23.0456		98.31232		98.31562		54.9271		52.79239		52.78496		60.46924		35.3045		35.3		98.31562		48.53256		48.51		52.78496
126		3.787341		3.78675		39.92665		11.81324		11.93037		55.15972		23.01031		23.03437		79.52549		53.98639		54		11.93037		39.99642		40		23.00755		98.32719		98.31562		54.92467		52.78954		52.78496		60.34734		35.29636		35.3		98.31562		48.49889		48.51		52.78496
