Trend data for Model:	
Model time base:		12
Plot duration (secs):		7200

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
12		3.786884		3.78675		39.77335		11.7128		11.83688		54.73395		22.99061		23.04212		79.5695		53.9579		54		11.83688		40.01868		40		23.02025		98.54048		98.53287		54.92658		52.85445		52.98691		51.75795		35.30215		35.3		98.29909		48.51239		48.51		52.82842
24		3.790433		3.78675		40.81004		11.88444		11.87816		54.92955		23.00631		22.97508		79.47401		53.96871		54		11.87816		39.9855		40		23.00035		98.285		98.32186		54.93604		52.95413		52.74601		68.43198		35.31449		35.3		98.48687		48.53246		48.51		53.02955
36		3.786551		3.78675		39.68003		11.78716		11.91756		55.2418		23.05705		22.9875		79.43129		53.97911		54		11.91756		39.97623		40		22.99482		98.34692		98.56825		54.99465		52.98914		53.01819		57.50071		35.30618		35.3		98.37977		48.51102		48.51		52.81579
48		3.789248		3.78675		40.46813		11.79916		11.86755		55.16544		23.03267		23.01864		79.49754		53.96719		54		11.86755		40.02297		40		23.02295		98.36768		98.4974		54.9994		52.89488		53.17214		45.7263		35.29331		35.3		98.20249		48.50201		48.51		52.72607
60		3.785635		3.78675		39.41677		11.88102		12.12013		55.30945		22.99736		23.01817		79.51841		54.03135		54		12.12013		40.05286		40		23.04094		98.41738		98.38524		55.01327		52.95493		52.9606		58.87509		35.31136		35.3		98.47858		48.50891		48.51		52.79587
72		3.786522		3.78675		39.67764		11.73219		11.68756		55.05761		23.03714		23.03362		79.4866		53.92343		54		11.68756		40.04653		40		23.03726		98.55608		98.60297		55.07402		53.07494		53.03604		60.90168		35.31511		35.3		98.60297		48.50899		48.51		53.03604
84		3.787115		3.78675		39.85288		11.9226		12.08894		55.14801		23.01197		23.04222		79.5335		54.02508		54		12.08894		39.97637		40		22.99532		98.45185		98.60297		55.14668		53.07723		53.03604		61.23806		35.30536		35.3		98.60297		48.53128		48.51		53.03604
96		3.786902		3.78675		39.7922		11.88884		11.57658		54.59868		23.00476		23.05416		79.57236		53.89741		54		11.57658		40.05571		40		23.04314		98.45098		98.60297		55.17899		53.10021		53.03604		62.47354		35.31006		35.3		98.60297		48.50603		48.51		53.03604
108		3.786166		3.78675		39.57895		11.58704		11.48961		54.78622		23.08455		23.03186		79.50849		53.87658		54		11.48961		40.01932		40		23.0216		98.68048		98.60297		55.15734		53.08561		53.03604		61.99033		35.2931		35.3		98.60297		48.50164		48.51		53.03604
120		3.788062		3.78675		40.13411		11.68574		11.82579		54.9297		23.0446		23.03339		79.55377		53.96222		54		11.82579		40.05716		40		23.04462		98.66109		98.60297		55.16573		52.99234		53.03604		57.63267		35.30905		35.3		98.60297		48.51063		48.51		53.03604
132		3.789733		3.78675		40.62248		11.54727		11.60756		54.6805		23.06282		23.03642		79.55919		53.90905		54		11.60756		40.00708		40		23.01495		98.62516		98.60297		55.15696		53.08409		53.03604		62.17274		35.30925		35.3		98.60297		48.51862		48.51		53.03604
144		3.789		3.78675		40.41041		11.41339		11.49484		54.57471		22.97538		23.05988		79.68664		53.88242		54		11.49484		40.10769		40		23.07577		98.75471		98.60297		55.11108		53.06564		53.03604		61.41993		35.30263		35.3		98.60297		48.49705		48.51		53.03604
156		3.786975		3.78675		39.82176		11.49356		11.50807		54.44662		23.0492		23.05333		79.63361		53.88764		54		11.50807		40.13251		40		23.09121		98.74401		98.60297		55.07435		53.04825		53.03604		60.73029		35.30415		35.3		98.60297		48.51126		48.51		53.03604
168		3.78758		3.78675		39.99932		11.51331		11.67142		54.44359		23.03726		23.08305		79.68929		53.93072		54		11.67142		40.11027		40		23.07853		98.66494		98.60297		55.04787		53.07642		53.03604		62.15858		35.30417		35.3		98.60297		48.50493		48.51		53.03604
180		3.78904		3.78675		40.42582		11.3626		11.19877		54.0028		23.10944		23.09338		79.6646		53.81413		54		11.19877		40.14044		40		23.0974		98.66893		98.60297		55.01416		53.05782		53.03604		61.38225		35.29993		35.3		98.60297		48.50648		48.51		53.03604
192		3.78882		3.78675		40.36339		11.49068		11.39145		53.96483		23.05707		23.10121		79.74771		53.86486		54		11.39145		40.17356		40		23.11807		98.60644		98.60297		54.97165		53.08237		53.03604		62.62449		35.2852		35.3		98.60297		48.4956		48.51		53.03604
204		3.788936		3.78675		40.39876		11.43031		11.3078		53.77927		23.09429		23.10546		79.7213		53.84654		54		11.3078		40.14155		40		23.09965		98.65678		98.60297		54.90564		53.03364		53.03604		60.39481		35.31244		35.3		98.60297		48.50814		48.51		53.03604
216		3.788793		3.78675		40.35916		11.20014		10.97552		53.5541		23.08184		23.10484		79.73371		53.76584		54		10.97552		40.13158		40		23.0946		98.77102		98.60297		54.83367		53.02295		53.03604		59.96663		35.29334		35.3		98.60297		48.52061		48.51		53.03604
228		3.787403		3.78675		39.9556		11.2931		10.89893		53.29373		23.10705		23.096		79.73452		53.74945		54		10.89893		40.22219		40		23.14999		98.69224		98.60297		54.79006		53.08682		53.03604		63.13925		35.2849		35.3		98.60297		48.50943		48.51		53.03604
240		3.787682		3.78675		40.03875		11.19825		11.07048		53.41943		23.09305		23.13628		79.8111		53.79552		54		11.07048		40.20999		40		23.14373		98.73475		98.60297		54.72955		53.01214		53.03604		59.57599		35.30165		35.3		98.60297		48.50154		48.51		53.03604
252		3.787405		3.78675		39.95914		11.17245		11.13924		53.47122		23.12442		23.15471		79.8324		53.81572		54		11.13924		40.27257		40		23.18251		98.69174		98.60297		54.68494		53.056		53.03604		61.77684		35.30528		35.3		98.60297		48.52131		48.51		53.03604
264		3.788335		3.78675		40.2319		11.10282		11.03405		53.361		23.11293		23.15166		79.88486		53.79235		54		11.03405		40.26797		40		23.18111		98.72284		98.60297		54.63294		53.0829		53.03604		63.14682		35.2985		35.3		98.60297		48.50685		48.51		53.03604
276		3.788658		3.78675		40.32725		11.07805		11.01994		53.31295		23.18181		23.18053		79.88943		53.79192		54		11.01994		40.29486		40		23.19874		98.70937		98.60297		54.58883		53.01638		53.03604		60.07293		35.2997		35.3		98.60297		48.494		48.51		53.03604
288		3.786738		3.78675		39.76813		11.10677		10.69732		52.83929		23.16832		23.17447		79.92456		53.71427		54		10.69732		40.28975		40		23.19729		98.65643		98.60297		54.55157		52.99006		53.03604		58.8459		35.3155		35.3		98.60297		48.50398		48.51		53.03604
300		3.78872		3.78675		40.34773		10.9479		11.02434		53.30076		23.19151		23.20991		79.96102		53.79967		54		11.02434		40.32516		40		23.22028		98.69875		98.60297		54.49385		53.0452		53.03604		61.53805		35.28383		35.3		98.60297		48.50272		48.51		53.03604
312		3.787219		3.78675		39.91145		10.97117		10.916		53.09854		23.23494		23.21494		79.97067		53.77575		54		10.916		40.33919		40		23.23056		98.75031		98.60297		54.45384		53.03102		53.03604		60.89168		35.2753		35.3		98.60297		48.49914		48.51		53.03604
324		3.788461		3.78675		40.2753		11.02219		10.97534		53.0617		23.20392		23.20771		80.01017		53.79391		54		10.97534		40.29276		40		23.20462		98.66228		98.60297		54.43776		53.0416		53.03604		61.46454		35.28505		35.3		98.60297		48.4979		48.51		53.03604
336		3.786946		3.78675		39.83493		10.91904		10.64934		52.77882		23.16757		23.26508		80.12115		53.71542		54		10.64934		40.32508		40		23.22611		98.6767		98.60297		54.39961		53.03328		53.03604		61.06549		35.30272		35.3		98.60297		48.5031		48.51		53.03604
348		3.788446		3.78675		40.27427		10.76933		10.83863		53.0493		23.2924		23.27743		80.0613		53.76639		54		10.83863		40.34714		40		23.24159		98.78434		98.60297		54.3473		53.02619		53.03604		60.73024		35.27229		35.3		98.60297		48.48396		48.51		53.03604
360		3.785029		3.78675		39.2794		10.88146		10.65911		52.66837		23.20948		23.26279		80.15786		53.72482		54		10.65911		40.41874		40		23.28687		98.7131		98.60297		54.32926		53.02321		53.03604		60.60428		35.28997		35.3		98.60297		48.48768		48.51		53.03604
372		3.788446		3.78675		40.27753		10.85368		10.96479		52.9732		23.26871		23.32056		80.20249		53.80491		54		10.96479		40.41811		40		23.28898		98.70326		98.60297		54.30181		53.01391		53.03604		60.22735		35.29141		35.3		98.60297		48.51039		48.51		53.03604
384		3.788836		3.78675		40.39282		10.82965		10.87524		52.94853		23.28314		23.31205		80.22101		53.78566		54		10.87524		40.42298		40		23.2945		98.68216		98.60297		54.28428		53.08637		53.03604		63.75024		35.31367		35.3		98.60297		48.4902		48.51		53.03604
396		3.787809		3.78675		40.09521		10.98047		11.13303		53.04081		23.32929		23.2949		80.20854		53.85356		54		11.13303		40.43121		40		23.30217		98.67236		98.60297		54.27599		53.03788		53.03604		61.39602		35.30237		35.3		98.60297		48.47498		48.51		53.03604
408		3.786068		3.78675		39.58869		10.90758		10.89614		52.86893		23.29041		23.36899		80.34439		53.79725		54		10.89614		40.49024		40		23.34044		98.67445		98.60297		54.26597		53.07268		53.03604		63.09134		35.27854		35.3		98.60297		48.48151		48.51		53.03604
420		3.786712		3.78675		39.77806		10.93697		10.83363		52.77848		23.3674		23.34254		80.28971		53.78475		54		10.83363		40.50637		40		23.35313		98.63691		98.60297		54.25755		53.01564		53.03604		60.3777		35.2833		35.3		98.60297		48.49608		48.51		53.03604
432		3.789649		3.78675		40.63557		10.92195		10.92605		52.82259		23.28152		23.3722		80.43564		53.81107		54		10.92605		40.4683		40		23.33341		98.60905		98.60297		54.25689		53.06909		53.03604		62.95165		35.28682		35.3		98.60297		48.48658		48.51		53.03604
444		3.788933		3.78675		40.42843		11.06018		11.02731		52.84667		23.40656		23.37565		80.36669		53.83948		54		11.02731		40.53806		40		23.37848		98.52864		98.60297		54.26102		53.07831		53.03604		63.43751		35.27995		35.3		98.60297		48.46847		48.51		53.03604
456		3.785873		3.78675		39.53732		10.80934		10.82546		52.85736		23.36224		23.41178		80.48229		53.79194		54		10.82546		40.56141		40		23.39586		98.69274		98.60297		54.22478		53.01262		53.03604		60.32327		35.26638		35.3		98.60297		48.48623		48.51		53.03604
468		3.786847		3.78675		39.8226		10.88771		10.8688		52.79626		23.39931		23.4112		80.48501		53.80582		54		10.8688		40.54721		40		23.39078		98.64195		98.60297		54.22801		53.12705		53.03604		65.82242		35.27514		35.3		98.60297		48.47862		48.51		53.03604
480		3.787154		3.78675		39.91321		10.81998		10.82872		52.87946		23.41712		23.43999		80.5297		53.79863		54		10.82872		40.59456		40		23.42277		98.72777		98.60297		54.20705		53.04808		53.03604		62.07258		35.26859		35.3		98.60297		48.49583		48.51		53.03604
492		3.788124		3.78675		40.19723		10.95391		10.68137		52.62955		23.40589		23.4292		80.57559		53.76453		54		10.68137		40.62169		40		23.44274		98.55733		98.60297		54.22968		53.05316		53.03604		62.36583		35.27545		35.3		98.60297		48.46471		48.51		53.03604
504		3.787091		3.78675		39.89751		10.8318		10.58805		52.5837		23.42799		23.47038		80.62646		53.74399		54		10.58805		40.62992		40		23.45144		98.61852		98.60297		54.22771		53.03712		53.03604		61.5767		35.28645		35.3		98.60297		48.46597		48.51		53.03604
