Trend data for Model:	
Model time base:		3
Plot duration (secs):		1017

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
3		3.787852		3.78675		40.23256		11.60734		12.10641		54.76089		22.99259		23.0271		79.55494		54.04153		54		12.10641		39.9892		40		23.00255		98.47218		98.14216		54.90962		52.79144		52.79401		61.64787		35.30474		35.3		98.32983		48.49974		48.51		52.70172
6		3.787165		3.78675		40.19817		11.74568		11.66351		54.35957		22.99348		23.01046		79.53371		53.88778		54		11.66351		39.96986		40		22.99096		98.49013		98.22743		54.92645		52.78387		52.82323		61.28002		35.30381		35.3		98.31679		48.5035		48.51		52.73932
9		3.786461		3.78675		40.163		11.72688		12.0156		54.9035		23.01564		23.03627		79.53588		54.01002		54		12.0156		40.02827		40		23.02602		98.57291		98.42054		54.95404		52.78602		52.82613		61.27241		35.30165		35.3		98.28615		48.51203		48.51		52.82471
12		3.786826		3.78675		40.18144		11.78175		11.87966		54.83584		23.0246		23.02508		79.522		53.96293		54		11.87966		39.99915		40		23.00856		98.4052		98.22741		54.94768		52.76537		52.83887		60.93852		35.30158		35.3		98.28566		48.51882		48.51		52.89264
15		3.785668		3.78675		40.12346		11.68658		11.87453		55.04983		23.04676		23.01138		79.48601		53.96121		54		11.87453		39.99357		40		23.00521		98.47269		98.23045		54.93156		52.85185		52.70688		63.12321		35.29372		35.3		98.17192		48.5089		48.51		52.79353
18		3.788363		3.78675		40.25833		11.8313		11.93553		55.03493		23.02513		23.03544		79.53016		53.98249		54		11.93553		40.01391		40		23.01742		98.19935		98.16788		54.98426		52.85018		52.74422		62.73316		35.30178		35.3		98.2867		48.50367		48.51		52.74129
21		3.785874		3.78675		40.13331		11.83541		12.05282		55.19561		23.04969		23.00911		79.48668		54.02327		54		12.05282		40.0087		40		23.0143		98.25739		98.01184		54.93074		52.84725		52.80673		62.07877		35.28637		35.3		98.0639		48.5177		48.51		52.88166
24		3.786649		3.78675		40.17214		11.87744		11.93399		55.11096		23.03971		23.0414		79.53653		53.98199		54		11.93399		40.00216		40		23.0104		98.27107		98.41443		55.02796		52.8132		52.76498		62.15576		35.30505		35.3		98.33294		48.51629		48.51		52.8675
27		3.787371		3.78675		40.20829		11.83088		11.96695		55.21982		23.04631		23.00176		79.48975		53.9935		54		11.96695		40.01461		40		23.01787		98.40489		98.27201		54.9589		52.81059		52.68683		62.9112		35.30768		35.3		98.37028		48.50524		48.51		52.757
30		3.78595		3.78675		40.1373		11.97144		12.115		55.29773		22.97758		23.01421		79.56311		54.04489		54		12.115		39.95391		40		22.98147		98.22256		98.22046		54.99159		52.812		52.86219		61.17167		35.2799		35.3		97.97013		48.50757		48.51		52.78034
33		3.784768		3.78675		40.07823		11.85025		11.87726		55.19136		22.99034		22.99834		79.53209		53.96241		54		11.87726		40.02859		40		23.02627		98.40248		98.23411		54.95003		52.80982		52.64885		63.28328		35.31031		35.3		98.40742		48.53061		48.51		53.01064
36		3.78655		3.78675		40.16763		11.90217		12.03235		55.32661		22.99501		23.0139		79.54606		54.01633		54		12.03235		40.01841		40		23.02017		98.34341		98.33099		54.98901		52.7859		52.77155		61.81704		35.29794		35.3		98.22758		48.5088		48.51		52.79254
39		3.786196		3.78675		40.14998		11.9139		11.98833		55.31871		22.97832		23.02501		79.5727		54.00103		54		11.98833		40.00834		40		23.01413		98.31072		98.08289		54.93516		52.81537		52.68274		62.99986		35.29001		35.3		98.11173		48.49572		48.51		52.66166
42		3.787023		3.78675		40.19103		12.04692		11.86471		55.08683		23.0196		23.01398		79.52508		53.95816		54		11.86471		39.9813		40		22.99791		98.20185		98.18235		54.98724		52.8136		52.7167		62.64258		35.28318		35.3		98.01238		48.51585		48.51		52.86294
45		3.787524		3.78675		40.21615		11.94761		11.85388		55.20788		23.05279		22.9933		79.47888		53.95436		54		11.85388		39.97362		40		22.9933		98.31582		98.18895		54.9604		52.79647		52.88389		60.79943		35.29249		35.3		98.14737		48.51145		48.51		52.81901
48		3.787229		3.78675		40.20166		11.93583		11.81597		55.20372		23.06982		23.01478		79.48036		53.94119		54		11.81597		40.04112		40		23.03383		98.31133		98.22425		54.97034		52.84251		52.79144		62.1843		35.29102		35.3		98.12489		48.52278		48.51		52.93229
51		3.787235		3.78675		40.20209		11.8654		11.9947		55.44004		23.03076		23.05995		79.55991		54.0033		54		11.9947		40.06056		40		23.04552		98.35202		98.24177		54.96455		52.79221		52.71644		62.43122		35.29285		35.3		98.15164		48.50775		48.51		52.78198
54		3.787751		3.78675		40.22768		12.03086		12.01442		55.32633		23.02592		23.02546		79.53073		54.01018		54		12.01442		40.02285		40		23.02289		98.28292		98.35878		55.01108		52.84594		52.75283		62.60473		35.28809		35.3		98.08253		48.50429		48.51		52.74737
57		3.785606		3.78675		40.12018		11.98728		12.00881		55.3623		23.03229		23.00412		79.50521		54.00825		54		12.00881		40.00162		40		23.01017		98.19181		98.32129		55.02449		52.82725		52.71746		62.77145		35.30162		35.3		98.27655		48.50323		48.51		52.73675
60		3.786536		3.78675		40.16644		11.95623		11.637		55.00783		23.04059		22.9918		79.48013		53.87922		54		11.637		39.94574		40		22.97664		98.32541		98.26402		54.97677		52.78317		52.88218		60.68345		35.30552		35.3		98.33289		48.50925		48.51		52.79701
63		3.786109		3.78675		40.14512		11.92862		12.05366		55.4888		23.01161		23.01823		79.5332		54.02394		54		12.05366		39.95384		40		22.98151		98.34941		98.39944		55.00462		52.80854		52.73949		62.36404		35.29506		35.3		98.18339		48.51135		48.51		52.818
66		3.786994		3.78675		40.18943		11.88751		11.88311		55.34033		23.00845		23.0011		79.51928		53.96478		54		11.88311		39.99578		40		23.00668		98.32571		98.169		54.95294		52.7742		52.87777		60.63792		35.30818		35.3		98.37197		48.50719		48.51		52.77627
69		3.785931		3.78675		40.13647		11.85759		11.81802		55.29504		23.01691		23.04302		79.54747		53.94228		54		11.81802		39.99014		40		23.00331		98.32071		98.43395		55.02042		52.79136		52.89975		60.58969		35.30484		35.3		98.32455		48.50412		48.51		52.74562
72		3.787803		3.78675		40.23007		12.14795		12.05076		55.23486		22.96964		23.04404		79.59782		54.02314		54		12.05076		39.98435		40		22.99984		98.23137		98.09956		54.95916		52.70397		52.6848		61.86525		35.29831		35.3		98.23042		48.51604		48.51		52.86483
75		3.787355		3.78675		40.20769		11.97637		11.90521		55.25792		23.07009		22.98934		79.45616		53.97261		54		11.90521		40.01341		40		23.01729		98.27928		98.2224		54.97789		52.81849		52.67471		63.1114		35.30212		35.3		98.28642		48.51831		48.51		52.88753
78		3.786335		3.78675		40.15668		11.78395		11.74508		55.28125		23.03625		23.00376		79.5002		53.91711		54		11.74508		39.92668		40		22.96527		98.39479		98.03572		54.90235		52.78366		52.8451		61.05912		35.29118		35.3		98.12888		48.50367		48.51		52.74107
81		3.786268		3.78675		40.15347		12.0313		12.12694		55.44488		23.04481		23.02297		79.51095		54.0497		54		12.12694		40.02506		40		23.02431		98.20478		98.4458		55.05237		52.85096		52.76008		62.58227		35.29719		35.3		98.21673		48.50068		48.51		52.71123
84		3.788435		3.78675		40.26184		11.88743		11.77969		55.24694		23.01939		22.9983		79.50711		53.92916		54		11.77969		40.03277		40		23.02895		98.35695		98.41688		55.0071		52.8433		52.86037		61.50293		35.3079		35.3		98.37076		48.51318		48.51		52.83622
87		3.785748		3.78675		40.12751		11.93246		12.10389		55.51285		23.0022		22.9975		79.5221		54.0418		54		12.10389		39.97322		40		22.99322		98.27265		98.20743		54.97581		52.82224		52.89007		60.99524		35.29282		35.3		98.15434		48.51669		48.51		52.87133
90		3.787579		3.78675		40.21956		11.89136		11.99762		55.4268		23.04816		23.02588		79.50731		54.00497		54		11.99762		40.01057		40		23.01566		98.35112		98.51584		55.03329		52.8184		53.02084		59.64916		35.31186		35.3		98.42992		48.5159		48.51		52.86345
93		3.785264		3.78675		40.10381		11.88791		11.80565		55.22238		23.0064		23.01184		79.52978		53.93838		54		11.80565		39.98484		40		23.00023		98.33856		98.27532		54.9763		52.77976		52.83307		61.14049		35.3044		35.3		98.32359		48.52352		48.51		52.93971
96		3.784756		3.78675		40.07855		12.00781		12.19602		55.53194		23.04335		23.00102		79.48335		54.0739		54		12.19602		39.96749		40		22.98981		98.23247		97.89735		54.90833		52.78864		52.80597		61.50029		35.30216		35.3		98.29063		48.51631		48.51		52.86757
99		3.786737		3.78675		40.17774		11.9442		11.87314		55.27546		23.02205		23.0262		79.52506		53.96181		54		11.87314		39.97894		40		22.99669		98.2758		98.05704		54.93742		52.76598		52.7348		61.98527		35.29843		35.3		98.23805		48.50329		48.51		52.73734
102		3.785502		3.78675		40.11575		11.90452		11.99211		55.41758		23.02445		23.00702		79.50777		54.00317		54		11.99211		40.03128		40		23.0281		98.34241		98.13978		54.94146		52.81762		52.78642		61.9855		35.29096		35.3		98.12995		48.49822		48.51		52.68656
105		3.785928		3.78675		40.13671		11.85737		11.84322		55.32885		22.99522		23.00431		79.54235		53.95151		54		11.84322		39.97637		40		22.99518		98.32513		98.08362		54.93174		52.78597		52.88406		60.69268		35.29146		35.3		98.13521		48.51268		48.51		52.83112
108		3.787315		3.78675		40.20587		12.00864		11.82313		55.15372		23.03255		23.00013		79.50835		53.94459		54		11.82313		40.00335		40		23.01137		98.12575		98.31733		55.04001		52.8051		52.76633		62.06117		35.30087		35.3		98.27097		48.51246		48.51		52.82893
111		3.787239		3.78675		40.20241		11.89854		11.92685		55.36667		23.01812		23.02656		79.53942		53.98058		54		11.92685		40.02902		40		23.0268		98.34911		98.1958		54.95379		52.71404		52.74985		61.31541		35.29351		35.3		98.16476		48.48904		48.51		52.59471
114		3.787783		3.78675		40.2294		12.0622		11.91676		55.18532		23.01389		23.01179		79.53008		53.97713		54		11.91676		39.97485		40		22.99432		98.23916		98.32793		55.01431		52.82848		52.75227		62.43571		35.31213		35.3		98.4321		48.51349		48.51		52.83919
117		3.786335		3.78675		40.15723		11.99517		11.90366		55.21469		23.03458		23.03536		79.5332		53.97264		54		11.90366		39.99305		40		23.00525		98.2778		98.09007		54.94518		52.77073		52.7775		61.60587		35.28686		35.3		98.06796		48.51209		48.51		52.82529
120		3.786494		3.78675		40.16504		11.88877		11.96337		55.37382		22.99128		23.02993		79.55967		53.99345		54		11.96337		40.00925		40		23.01498		98.23288		98.29237		55.00698		52.8004		52.7361		62.31657		35.29305		35.3		98.15562		48.5085		48.51		52.78933
123		3.785971		3.78675		40.13906		12.00664		12.06476		55.39739		22.98881		23.00313		79.54087		54.02865		54		12.06476		40.04236		40		23.03485		98.27655		98.52813		55.05501		52.77147		52.74831		61.90514		35.31013		35.3		98.403		48.50268		48.51		52.7311
126		3.786183		3.78675		40.14991		11.94288		12.01512		55.38281		23.04049		23.01977		79.5043		54.01147		54		12.01512		39.98872		40		23.00267		98.25065		98.1678		54.9714		52.77385		52.70934		62.31869		35.27879		35.3		97.9526		48.51111		48.51		52.81535
