Trend data for Model:	
Model time base:		3
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.787228		3.78675		40.20141		11.73143		12.0368		55.19202		22.94751		23.0027		79.57781		54.01757		54		12.0368		39.98519		40		23.00017		98.32623		98.31477		54.98926		52.79029		52.65495		64.58193		35.28631		35.3		98.06673		48.52559		48.51		52.96045
3		3.787254		3.78675		40.20249		11.89197		11.88109		54.97884		23.04801		23.00415		79.48802		53.96351		54		11.88109		39.98292		40		22.99881		98.32488		98.292		54.9839		52.86163		52.9095		55.87375		35.30755		35.3		98.37254		48.49893		48.51		52.69378
6		3.786853		3.78675		40.18212		11.97194		11.82766		54.91034		22.97829		23.03617		79.58116		53.94502		54		11.82766		39.96803		40		22.98987		98.15389		98.1036		54.97955		52.87186		52.80036		61.66669		35.3053		35.3		98.3386		48.50573		48.51		52.76172
9		3.784393		3.78675		40.05907		11.78847		11.98665		55.29091		22.94692		23.03094		79.607		54.00024		54		11.98665		39.99828		40		23.00803		98.39554		98.1681		54.93526		52.83934		52.80824		59.86206		35.28966		35.3		98.11258		48.48206		48.51		52.52487
12		3.786346		3.78675		40.1566		11.89165		11.80366		55.06523		23.00227		23.01616		79.53775		53.93675		54		11.80366		39.97536		40		22.99427		98.28297		98.28048		54.9915		52.76924		52.82139		55.81007		35.29565		35.3		98.19745		48.49976		48.51		52.70191
15		3.787164		3.78675		40.19711		11.99297		12.0441		55.24367		23.03639		23.01273		79.50419		54.02024		54		12.0441		39.96942		40		22.99072		98.33223		98.26862		54.97622		52.81413		52.81739		58.13588		35.30735		35.3		98.36611		48.50504		48.51		52.75469
18		3.784548		3.78675		40.06634		11.87687		12.1427		55.49575		22.9816		23.02655		79.56109		54.05444		54		12.1427		39.99685		40		23.00717		98.24033		98.0273		54.93886		52.87334		52.80478		61.64121		35.30023		35.3		98.26394		48.50564		48.51		52.76068
21		3.787751		3.78675		40.22611		12.05541		12.0076		55.22547		23.00611		23.00875		79.52311		54.00756		54		12.0076		40.02563		40		23.02446		98.17034		98.32262		55.03019		52.87653		52.81254		61.46444		35.30899		35.3		98.38865		48.52684		48.51		52.97267
24		3.784888		3.78675		40.08301		11.95155		11.96244		55.27943		22.97881		23.02964		79.57174		53.99191		54		11.96244		40.05369		40		23.04131		98.26117		98.08866		54.94899		52.9449		52.70665		69.9114		35.28207		35.3		98.00101		48.49929		48.51		52.69715
27		3.786694		3.78675		40.17349		12.06478		11.72103		54.92536		23.0567		23.04019		79.51664		53.90815		54		11.72103		39.99522		40		23.00624		98.14477		98.21638		55.01002		52.8653		52.80338		61.59199		35.31346		35.3		98.4548		48.50609		48.51		52.76513
30		3.788899		3.78675		40.28404		11.85311		11.94076		55.34177		22.95985		22.98587		79.55762		53.98455		54		11.94076		40.01775		40		23.01977		98.46439		98.39056		54.97366		52.85926		52.63693		69.34758		35.30888		35.3		98.38963		48.50192		48.51		52.72348
33		3.786696		3.78675		40.17367		11.91072		11.90843		55.24569		23.03719		23.03468		79.53109		53.9734		54		11.90843		39.99679		40		23.00719		98.26848		98.25598		54.98899		52.84929		52.83009		59.67704		35.31933		35.3		98.5412		48.50738		48.51		52.77797
36		3.786874		3.78675		40.18321		11.88121		11.78925		55.17467		23.02571		23.00031		79.50207		53.93205		54		11.78925		39.99751		40		23.00762		98.36922		98.26008		54.96483		52.84396		52.70184		65.58455		35.30668		35.3		98.35891		48.50288		48.51		52.73296
39		3.786669		3.78675		40.17293		11.73904		12.01611		55.54008		23.03959		22.99938		79.49087		54.01088		54		12.01611		40.01683		40		23.01922		98.43878		98.08445		54.90354		52.8067		52.85377		56.56096		35.29912		35.3		98.25051		48.50831		48.51		52.78729
42		3.787111		3.78675		40.19512		11.86515		12.01524		55.45094		23.00553		23.01057		79.53246		54.01061		54		12.01524		40.03169		40		23.02813		98.19702		98.51124		55.07067		52.86896		52.96405		54.23859		35.30222		35.3		98.29609		48.52551		48.51		52.95937
45		3.786316		3.78675		40.15485		12.02254		11.88146		55.16827		23.03142		23.00384		79.50076		53.96423		54		11.88146		40.05545		40		23.0424		98.28974		98.49519		55.04348		52.85348		52.71472		65.51777		35.28701		35.3		98.07673		48.51752		48.51		52.87957
48		3.784304		3.78675		40.0543		11.96594		11.79728		55.13945		23.00822		23.00955		79.52294		53.93503		54		11.79728		40.011		40		23.01573		98.22866		98.27647		55.00407		52.84729		52.73228		64.47037		35.31515		35.3		98.48276		48.4965		48.51		52.66928
51		3.785502		3.78675		40.11402		11.8856		12.04495		55.4244		23.02538		23.01351		79.51276		54.02114		54		12.04495		39.97477		40		22.99401		98.3811		98.57855		55.04148		52.8233		52.55973		71.58511		35.29267		35.3		98.15973		48.51801		48.51		52.88436
54		3.787673		3.78675		40.22254		11.88546		11.89888		55.26329		23.05816		23.01895		79.49103		53.97048		54		11.89888		40.02915		40		23.02665		98.26833		98.34638		55.01163		52.74631		52.97628		48.01815		35.27885		35.3		97.96084		48.52675		48.51		52.97179
57		3.788405		3.78675		40.25927		11.87773		11.94472		55.3124		23.02367		23.04266		79.54858		53.98647		54		11.94472		40.01382		40		23.01748		98.37952		98.29893		54.97197		52.87404		52.64212		70.22109		35.27702		35.3		97.93339		48.51796		48.51		52.88382
60		3.78784		3.78675		40.23122		11.86574		11.98376		55.35685		23.01224		22.99953		79.51433		54.00009		54		11.98376		40.03421		40		23.02973		98.19467		98.30544		55.01981		52.86779		52.84548		60.21797		35.29508		35.3		98.19216		48.52741		48.51		52.97833
63		3.787341		3.78675		40.20614		11.88151		11.97122		55.35557		22.99301		23.01525		79.54353		53.99579		54		11.97122		39.9908		40		23.00368		98.37342		98.20989		54.95124		52.92919		52.85062		63.0356		35.31196		35.3		98.4349		48.50277		48.51		52.73186
66		3.787009		3.78675		40.18994		11.93377		11.77504		55.14193		22.96255		23.00086		79.55552		53.9277		54		11.77504		39.99741		40		23.00764		98.4253		98.21628		54.93986		52.88368		52.79585		63.58845		35.31523		35.3		98.4832		48.51825		48.51		52.88672
69		3.787684		3.78675		40.22397		11.8885		11.90058		55.30004		22.99419		23.03598		79.56456		53.97138		54		11.90058		40.03607		40		23.03085		98.35097		98.12951		54.93675		52.88478		52.72349		67.18191		35.29853		35.3		98.24132		48.51177		48.51		52.82192
72		3.78647		3.78675		40.16345		11.95149		12.13719		55.50805		23.02066		23.01635		79.52559		54.05353		54		12.13719		40.06406		40		23.04766		98.15626		98.35138		55.0409		52.76931		52.81294		57.46564		35.28746		35.3		98.08124		48.5245		48.51		52.94927
75		3.786642		3.78675		40.17205		11.96547		12.02796		55.37575		23.00319		23.0033		79.52751		54.01567		54		12.02796		39.99563		40		23.00663		98.34043		98.25279		54.97021		52.82897		52.82299		59.87859		35.31026		35.3		98.4091		48.49728		48.51		52.67707
78		3.785967		3.78675		40.13847		11.98522		11.96873		55.30866		22.956		23.01671		79.5793		53.99507		54		11.96873		40.01572		40		23.01869		98.30953		98.25633		54.97882		52.75019		52.80878		56.78685		35.29909		35.3		98.24858		48.53626		48.51		53.06687
81		3.786487		3.78675		40.16466		12.00009		11.99214		55.34768		23.04053		23.04288		79.52333		54.00319		54		11.99214		40.01455		40		23.01801		98.20431		98.43673		55.05022		52.89135		52.74247		66.76461		35.29955		35.3		98.25524		48.50686		48.51		52.77294
84		3.786817		3.78675		40.18119		12.05931		11.73303		55.02715		23.03288		22.99359		79.48832		53.91321		54		11.73303		39.9904		40		23.00353		98.2148		98.2104		54.99102		52.91035		52.87801		61.24304		35.30265		35.3		98.29967		48.52295		48.51		52.93392
87		3.787272		3.78675		40.20387		11.96273		11.96185		55.34281		23.02144		23.01087		79.51172		53.99269		54		11.96185		40.03446		40		23.02997		98.27388		98.34449		55.00977		52.8343		52.85049		59.00055		35.29669		35.3		98.21394		48.51369		48.51		52.84138
90		3.788154		3.78675		40.24804		12.01136		12.00251		55.32002		22.94637		23.02259		79.58918		54.00685		54		12.00251		40.03613		40		23.03098		98.20049		98.43911		55.05177		52.84724		52.79754		62.13757		35.30814		35.3		98.38061		48.49932		48.51		52.6978
93		3.786978		3.78675		40.18926		11.88273		11.94284		55.36994		22.99715		23.00269		79.52241		53.9862		54		11.94284		40.00218		40		23.0106		98.31291		98.2603		54.97897		52.84776		52.98301		53.32198		35.30536		35.3		98.34057		48.50526		48.51		52.75716
96		3.788135		3.78675		40.24756		11.87599		11.99951		55.4386		23.03176		23.013		79.49762		54.00589		54		11.99951		40.02596		40		23.02488		98.29598		98.18706		54.96489		52.88696		52.83184		62.46439		35.3064		35.3		98.35679		48.50928		48.51		52.79741
99		3.787826		3.78675		40.23204		11.99051		11.86193		55.20319		23.04927		23.01008		79.47775		53.95814		54		11.86193		40.00335		40		23.01132		98.218		98.1326		54.97077		52.84196		52.59833		71.57002		35.29097		35.3		98.13257		48.51671		48.51		52.87175
102		3.788904		3.78675		40.28658		11.8922		11.82476		55.26527		23.01146		23.00864		79.51369		53.94526		54		11.82476		40.01022		40		23.01545		98.34871		98.20841		54.95704		52.98005		52.83064		67.14883		35.29191		35.3		98.14622		48.5099		48.51		52.80368
105		3.78665		3.78675		40.17421		11.88515		12.21295		55.70307		23.02863		23.03621		79.52333		54.08004		54		12.21295		40.0236		40		23.02349		98.28918		98.17735		54.96416		52.81581		52.93144		54.53171		35.30989		35.3		98.4053		48.52685		48.51		52.97321
108		3.785287		3.78675		40.10618		11.89221		12.04844		55.50995		23.00316		23.0137		79.5241		54.023		54		12.04844		40.01856		40		23.02048		98.32425		98.25029		54.97363		52.81582		52.87428		57.2951		35.28634		35.3		98.06574		48.5169		48.51		52.87376
111		3.78666		3.78675		40.17483		11.91769		11.95423		55.40153		22.96947		23.00944		79.55813		53.9903		54		11.95423		40.08066		40		23.05775		98.3106		98.31371		54.99289		52.76374		52.61599		67.19923		35.29724		35.3		98.2227		48.49308		48.51		52.63544
114		3.784749		3.78675		40.0792		12.006		11.65494		55.02499		23.0056		23.02227		79.53684		53.88642		54		11.65494		39.98904		40		23.00279		98.32774		98.30076		54.98537		52.84454		52.90512		57.13561		35.29496		35.3		98.19047		48.51232		48.51		52.82799
117		3.788997		3.78675		40.29213		11.95284		12.12702		55.53137		22.97408		22.99342		79.53572		54.05039		54		12.12702		39.99004		40		23.00337		98.23437		98.37652		55.02765		52.88553		52.77279		65.45876		35.29951		35.3		98.25598		48.51207		48.51		52.82554
120		3.786611		3.78675		40.17295		11.84051		11.85458		55.35776		22.98154		23.01029		79.55026		53.95589		54		11.85458		40.0012		40		23.01008		98.29096		98.38772		55.01631		52.92595		52.87538		62.577		35.29151		35.3		98.14123		48.51376		48.51		52.84249
123		3.785749		3.78675		40.12998		11.84221		12.09015		55.61119		23.00791		22.99705		79.51669		54.03769		54		12.09015		40.03032		40		23.02757		98.37703		97.86496		54.8641		52.82019		52.82846		59.86529		35.31313		35.3		98.45177		48.52989		48.51		53.0038
126		3.787496		3.78675		40.21715		12.10043		11.94433		55.2372		23.0243		23.03557		79.53137		53.98702		54		11.94433		39.99314		40		23.00528		98.16893		98.31073		55.02757		52.85854		52.74489		65.73714		35.31856		35.3		98.53032		48.51778		48.51		52.88274
