Trend data for Model:	
Model time base:		3
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.784906		3.78675		40.08492		11.86456		12.15458		55.58184		22.94526		23.0123		79.59391		54.05965		54		12.15458		40.04859		40		23.03842		98.32292		98.3199		54.97507		52.83692		52.70813		65.84279		35.29408		35.3		98.17447		48.52344		48.51		52.93878
3		3.786911		3.78675		40.18514		11.88323		11.84846		55.27452		23.03798		23.02306		79.51749		53.95342		54		11.84846		39.99442		40		23.00593		98.36589		98.14546		54.92015		52.86781		52.75361		65.21524		35.27451		35.3		97.89192		48.50269		48.51		52.73121
6		3.788632		3.78675		40.2712		11.92642		11.85188		55.2438		23.01265		22.99066		79.50955		53.95466		54		11.85188		40.04813		40		23.03817		98.21129		98.30095		54.99744		52.87022		52.72382		66.85065		35.30118		35.3		98.27631		48.4915		48.51		52.61919
9		3.786798		3.78675		40.17953		11.97208		11.90435		55.29997		23.00136		23.02641		79.55686		53.97286		54		11.90435		40.03892		40		23.03267		98.20548		97.98236		54.91879		52.82104		52.88649		56.6839		35.31841		35.3		98.52402		48.51981		48.51		52.90242
12		3.787811		3.78675		40.23015		12.00779		11.79176		55.15142		23.0403		23.02786		79.52486		53.9338		54		11.79176		40.03301		40		23.02914		98.30564		98.35594		54.98733		52.75705		53.00712		47.82551		35.30571		35.3		98.34128		48.49369		48.51		52.64128
15		3.787906		3.78675		40.23492		11.92562		11.97358		55.36345		23.02802		23.00082		79.50628		53.99703		54		11.97358		40.0011		40		23.01		98.24166		97.95318		54.90242		52.78901		52.73185		62.50886		35.30841		35.3		98.37955		48.51407		48.51		52.84506
18		3.787398		3.78675		40.20951		12.01074		11.95417		55.25758		23.01639		23.04964		79.56538		53.99031		54		11.95417		40.03205		40		23.02858		98.32706		98.12314		54.92354		52.79238		52.88264		55.50456		35.27448		35.3		97.89038		48.5019		48.51		52.72335
21		3.787124		3.78675		40.19582		11.87516		11.97		55.36656		23.02974		23.00311		79.50702		53.99589		54		11.97		40.03573		40		23.03081		98.19767		98.06064		54.94054		52.7567		52.8903		53.45181		35.33743		35.3		98.79883		48.50417		48.51		52.74598
24		3.789472		3.78675		40.31318		11.90085		11.84559		55.20355		23.02579		22.99706		79.5077		53.95282		54		11.84559		40.02798		40		23.02619		98.23261		98.34556		55.00276		52.80224		52.68967		65.19826		35.31151		35.3		98.42599		48.52091		48.51		52.91341
27		3.78408		3.78675		40.04358		11.92858		12.04277		55.39528		23.01646		23.03316		79.54878		54.0213		54		12.04277		40.06902		40		23.05084		98.38079		98.42873		54.98696		52.86779		52.88023		59.26555		35.31318		35.3		98.45154		48.50457		48.51		52.74996
30		3.786873		3.78675		40.18327		11.9227		11.87569		55.23353		22.96818		22.99993		79.56522		53.96335		54		11.87569		40.06591		40		23.04897		98.33975		98.05071		54.90264		52.85881		52.78895		63.34411		35.31223		35.3		98.43832		48.51728		48.51		52.87701
33		3.78694		3.78675		40.18659		11.97631		11.9585		55.29619		22.97092		23.02645		79.586		53.99214		54		11.9585		39.99223		40		23.00477		98.38949		98.26489		54.94359		52.87816		52.91103		58.4346		35.29712		35.3		98.22093		48.50282		48.51		52.73246
36		3.788411		3.78675		40.26015		11.86561		11.77304		55.2294		23.05558		22.99541		79.47275		53.92776		54		11.77304		40.00131		40		23.01022		98.18363		98.22134		54.98471		52.87593		52.73947		66.63002		35.30194		35.3		98.29208		48.52072		48.51		52.91139
39		3.785904		3.78675		40.1348		11.95623		12.10645		55.49162		23.02053		23.03554		79.54505		54.04356		54		12.10645		40.04456		40		23.0362		98.36989		98.11228		54.91034		52.87897		52.67208		70.10811		35.29832		35.3		98.23887		48.50032		48.51		52.70731
42		3.787752		3.78675		40.22723		12.05725		11.92068		55.21244		23.02162		23.02583		79.53393		53.9791		54		11.92068		40.01263		40		23.01707		98.09099		98.14226		54.98764		52.87449		52.76914		65.29683		35.30975		35.3		98.40412		48.50279		48.51		52.73211
45		3.785335		3.78675		40.10636		11.83087		12.00026		55.51103		23.01453		22.98761		79.51219		54.00675		54		12.00026		40.00314		40		23.0114		98.39101		98.28129		54.94756		52.75667		52.79237		58.61122		35.30616		35.3		98.35299		48.50869		48.51		52.79098
48		3.785844		3.78675		40.13179		12.011		11.9156		55.22815		23.01525		23.01207		79.53646		53.97744		54		11.9156		40.01237		40		23.01698		98.15121		98.37185		55.03035		52.8035		52.70453		65.06278		35.29738		35.3		98.22778		48.5111		48.51		52.81504
51		3.785752		3.78675		40.1272		11.93966		11.71166		55.0707		23.0102		23.01006		79.53732		53.90667		54		11.71166		39.98935		40		23.00319		98.21234		98.11272		54.95049		52.77946		52.61943		68.01167		35.28862		35.3		98.10114		48.49591		48.51		52.66308
54		3.78462		3.78675		40.07062		12.05834		11.90855		55.15925		23.02542		23.00301		79.51433		53.97507		54		11.90855		40.04017		40		23.0337		98.12845		98.16003		54.98335		52.75602		52.83135		56.74738		35.31696		35.3		98.51019		48.52004		48.51		52.90436
57		3.786342		3.78675		40.1567		11.92944		11.72982		55.12981		23.02952		23.03116		79.54148		53.913		54		11.72982		40.01842		40		23.02068		98.301		98.26441		54.96637		52.81469		52.7604		62.94376		35.30172		35.3		98.29043		48.50878		48.51		52.79175
60		3.78639		3.78675		40.15909		11.97657		12.06764		55.37937		22.97398		23.03037		79.59347		54.03039		54		12.06764		40.0149		40		23.0186		98.24471		98.24298		54.97528		52.86304		52.76086		65.23771		35.31181		35.3		98.43689		48.50423		48.51		52.74622
63		3.786849		3.78675		40.18204		11.88718		11.88451		55.2849		22.97695		23.0038		79.56952		53.96685		54		11.88451		40.03114		40		23.02837		98.27096		98.31601		54.98693		52.76919		52.68033		64.61707		35.30311		35.3		98.31116		48.52445		48.51		52.94846
66		3.78875		3.78675		40.27709		12.00298		11.94257		55.22721		23.01079		23.00162		79.53685		53.98705		54		11.94257		40.0134		40		23.01774		98.24797		98.26242		54.97941		52.8721		52.75288		66.08372		35.3106		35.3		98.41977		48.52091		48.51		52.91313
69		3.785866		3.78675		40.13291		11.76975		11.73021		55.19362		23.05682		23.02148		79.51351		53.91343		54		11.73021		40.00782		40		23.01442		98.48139		98.14214		54.89102		52.88333		52.83784		62.58274		35.28601		35.3		98.06531		48.51982		48.51		52.90226
72		3.786806		3.78675		40.17988		11.77434		11.81884		55.29911		23.00714		23.0072		79.54126		53.94424		54		11.81884		40.034		40		23.03016		98.34379		98.00033		54.88964		52.75988		52.68589		64.04012		35.30727		35.3		98.37122		48.50997		48.51		52.80374
75		3.786509		3.78675		40.16504		11.98199		11.90917		55.21558		23.06473		23.00334		79.47977		53.97566		54		11.90917		40.01396		40		23.01815		98.37203		98.2307		54.93982		52.68341		52.69083		60.10549		35.29614		35.3		98.21097		48.51324		48.51		52.83646
78		3.788177		3.78675		40.24846		11.96884		12.15366		55.46784		23.03671		23.028		79.5294		54.06055		54		12.15366		40.05333		40		23.04181		98.24289		98.05307		54.92759		52.74866		52.74469		60.54562		35.31397		35.3		98.46776		48.51182		48.51		52.82226
81		3.787747		3.78675		40.22697		11.98566		11.88991		55.20811		22.98737		23.04955		79.59854		53.96902		54		11.88991		40.04144		40		23.03472		98.18103		98.29639		55.00385		52.83506		52.81107		61.4994		35.307		35.3		98.36754		48.50944		48.51		52.79841
84		3.786299		3.78675		40.15455		12.09054		12.08678		55.3132		23.06571		23.02875		79.51219		54.03736		54		12.08678		40.05867		40		23.0451		98.18686		98.24656		54.99038		52.83208		52.76199		63.76487		35.31246		35.3		98.44747		48.50092		48.51		52.71322
87		3.785273		3.78675		40.10325		12.0261		11.91871		55.21074		23.0273		23.00083		79.51866		53.97903		54		11.91871		39.96087		40		22.98644		98.21375		98.23855		54.98183		52.76755		52.69411		63.9229		35.28986		35.3		98.1224		48.50233		48.51		52.72729
90		3.787213		3.78675		40.20024		11.98133		11.82639		55.17175		23.03958		23.00608		79.50904		53.94702		54		11.82639		40.05834		40		23.04495		98.1835		98.31378		55.00779		52.72314		52.92415		50.73693		35.30177		35.3		98.29311		48.51449		48.51		52.84894
93		3.78731		3.78675		40.20509		11.94001		11.9038		55.28485		23.05694		23.02507		79.51238		53.97395		54		11.9038		40.02479		40		23.02484		98.17676		98.20445		54.9821		52.68431		52.69193		59.96051		35.29796		35.3		98.23864		48.51424		48.51		52.84646
96		3.786122		3.78675		40.14569		11.90556		11.93561		55.34201		23.00719		22.99937		79.52853		53.98504		54		11.93561		40.02295		40		23.02376		98.33536		98.30258		54.96737		52.77017		52.78012		59.85495		35.29504		35.3		98.19748		48.50578		48.51		52.76174
99		3.787286		3.78675		40.20391		11.90458		11.81334		55.20716		22.99013		23.01441		79.56188		53.94267		54		11.81334		39.99133		40		23.00481		98.30142		98.51114		55.02775		52.8281		52.6949		66.70702		35.28801		35.3		98.09624		48.51801		48.51		52.88403
102		3.787363		3.78675		40.20776		12.05767		11.64249		54.90391		23.0122		23.0152		79.54109		53.8834		54		11.64249		40.03238		40		23.02947		98.10812		98.3822		55.04395		52.80793		52.7295		64.14975		35.29386		35.3		98.18143		48.5181		48.51		52.88499
105		3.787825		3.78675		40.23084		11.97004		11.85037		55.21068		23.07342		23.02541		79.49767		53.95562		54		11.85037		40.00914		40		23.01555		98.36273		98.36574		54.97638		52.83179		52.65358		68.9511		35.30668		35.3		98.3673		48.49627		48.51		52.66665
108		3.78602		3.78675		40.14061		11.91607		11.98508		55.41402		23.00352		23.01495		79.55078		54.00241		54		11.98508		40.00956		40		23.01582		98.36715		98.39593		54.98321		52.85149		52.52543		76.0567		35.28892		35.3		98.11302		48.50389		48.51		52.74285
111		3.787191		3.78675		40.19915		12.01637		11.95311		55.25954		23.05909		23.02837		79.50304		53.99141		54		11.95311		40.00785		40		23.01482		98.25035		98.26422		54.9795		52.82894		52.91132		56.36491		35.29892		35.3		98.25745		48.51977		48.51		52.90176
114		3.788117		3.78675		40.24548		12.13049		11.85793		55.0454		23.0318		23.029		79.53237		53.95838		54		11.85793		40.01371		40		23.01837		98.15496		98.30725		55.01468		52.88633		52.75263		66.8401		35.29823		35.3		98.24878		48.50268		48.51		52.73083
117		3.78726		3.78675		40.20259		11.87671		12.01422		55.4466		23.02975		23.05572		79.5546		54.01265		54		12.01422		39.99028		40		23.00433		98.37658		98.3004		54.95859		52.81909		52.746		64.00863		35.29599		35.3		98.21884		48.52489		48.51		52.9529
120		3.787846		3.78675		40.23191		11.67598		11.8473		55.46163		23.03415		23.01028		79.51047		53.95481		54		11.8473		39.96798		40		22.99099		98.53909		98.62458		54.99929		52.84824		52.81853		61.99421		35.29362		35.3		98.18654		48.5276		48.51		52.98002
123		3.786504		3.78675		40.16482		11.95291		11.78655		55.14157		23.05532		23.01524		79.49421		53.93381		54		11.78655		39.99232		40		23.00563		98.31811		98.03154		54.90625		52.84863		52.7805		63.83155		35.29561		35.3		98.2161		48.50357		48.51		52.73979
126		3.786884		3.78675		40.18382		12.02634		12.04529		55.30361		23.11882		23.02237		79.44136		54.02374		54		12.04529		40.05335		40		23.04226		98.24766		98.42018		55.02168		52.79164		52.9542		52.77985		35.30825		35.3		98.40074		48.52566		48.51		52.96076
