Trend data for Model:	
Model time base:		3
Plot duration (secs):		1725

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
3		3.787445		3.78675		39.93527		11.76249		11.71536		54.1791		22.99413		22.98668		79.50728		53.90577		54		11.71536		39.99574		40		23.00645		98.549		98.3549		54.94234		52.89287		52.74816		64.98325		35.30116		35.3		98.27825		48.51293		48.51		52.83353
6		3.787328		3.78675		39.90183		11.60774		12.00861		54.77979		22.96043		22.9704		79.51905		54.00767		54		12.00861		39.99234		40		23.00441		98.66285		98.43715		54.93427		52.94149		52.68431		70.46684		35.29662		35.3		98.21745		48.50172		48.51		52.72156
9		3.78753		3.78675		39.96107		11.7389		12.0646		54.8602		23.00139		23.01323		79.51595		54.02718		54		12.0646		40.01563		40		23.01838		98.36358		98.5065		55.02602		52.84476		52.92132		54.52285		35.3055		35.3		98.34858		48.51004		48.51		52.80489
12		3.789601		3.78675		40.56549		11.77841		11.78229		54.67044		23.0349		22.98524		79.45788		53.92923		54		11.78229		39.96669		40		22.98903		98.37791		98.31686		54.97523		52.82087		53.06245		46.63304		35.30943		35.3		98.41016		48.51244		48.51		52.82895
15		3.787891		3.78675		40.06708		11.70568		11.78687		54.86203		23.01848		22.99811		79.47804		53.93093		54		11.78687		40.00931		40		23.01462		98.51069		98.27439		54.93064		52.90113		52.76217		64.8962		35.3095		35.3		98.41322		48.53866		48.51		53.09126
18		3.788151		3.78675		40.14333		11.71495		11.95425		55.11029		22.97937		23.01747		79.52584		53.98911		54		11.95425		39.9458		40		22.9765		98.40099		98.39901		54.98896		52.99935		52.83224		66.31624		35.31389		35.3		98.47904		48.51491		48.51		52.85386
21		3.786814		3.78675		39.75361		11.72543		11.9561		55.14851		23.00358		23.00132		79.49428		53.98992		54		11.9561		40.02785		40		23.02575		98.34584		98.54168		55.03848		52.90075		52.9169		57.58617		35.29935		35.3		98.27283		48.52911		48.51		52.99608
24		3.786296		3.78675		39.60286		11.80803		11.85406		55.02791		23.03309		22.97649		79.44512		53.95459		54		11.85406		40.03791		40		23.03181		98.39248		98.60522		55.043		52.95148		52.95497		58.22022		35.3114		35.3		98.44994		48.50939		48.51		52.79896
27		3.786885		3.78675		39.77537		11.87263		11.72468		54.85305		22.98792		23.02053		79.52223		53.90983		54		11.72468		40.00703		40		23.01328		98.33653		98.46271		55.0223		52.96544		52.78572		67.03145		35.31754		35.3		98.54311		48.50536		48.51		52.7588
30		3.787209		3.78675		39.8704		11.78024		12.0874		55.35268		23.01778		23.01835		79.49363		54.03586		54		12.0874		39.96558		40		22.98843		98.40546		98.42778		54.99666		52.97538		52.78044		67.84013		35.29421		35.3		98.21011		48.52066		48.51		52.91203
33		3.785529		3.78675		39.38094		11.88113		11.7466		54.91643		23.00315		22.98817		79.47744		53.91764		54		11.7466		39.95636		40		22.98289		98.46823		98.19868		54.92443		52.93389		52.96958		56.88759		35.29799		35.3		98.26767		48.51824		48.51		52.88789
36		3.788157		3.78675		40.1479		11.87868		12.01319		55.17845		23.05207		22.98273		79.42668		54.01033		54		12.01319		40.00865		40		23.01428		98.44628		98.61638		55.03478		52.90549		53.03942		52.22861		35.31515		35.3		98.51727		48.53017		48.51		53.00736
39		3.785968		3.78675		39.50975		11.84193		12.11879		55.34519		22.99965		23.03528		79.52371		54.0471		54		12.11879		39.98261		40		22.99867		98.27842		98.42255		55.02839		52.8913		52.73699		66.15819		35.31713		35.3		98.54778		48.52041		48.51		52.90982
42		3.788119		3.78675		40.13757		11.84349		12.02402		55.29566		23.08388		22.99606		79.41515		54.01426		54		12.02402		40.00437		40		23.01174		98.4964		98.45917		54.9841		52.86285		52.85502		59.20396		35.32061		35.3		98.60233		48.50748		48.51		52.78061
45		3.7873		3.78675		39.89936		11.85051		11.91392		55.18831		23.10859		23.00791		79.39885		53.97616		54		11.91392		39.95924		40		22.98469		98.41104		98.85943		55.1063		52.95413		52.83726		64.47394		35.31633		35.3		98.5438		48.53964		48.51		53.10239
48		3.787987		3.78675		40.10043		11.77253		11.74521		55.0805		23.02972		23.0091		79.47501		53.91777		54		11.74521		40.03279		40		23.02882		98.47501		98.72357		55.05679		53.03341		52.88679		66.057		35.3287		35.3		98.72524		48.53094		48.51		53.0155
51		3.789668		3.78675		40.59136		11.87017		11.76991		55.00512		22.96934		22.99625		79.5208		53.92647		54		11.76991		40.00799		40		23.01398		98.39933		98.55858		55.03489		52.97129		52.84135		65.41174		35.31288		35.3		98.49971		48.51906		48.51		52.89677
54		3.786389		3.78675		39.63533		11.89016		11.82997		55.04559		23.07004		23.02797		79.46281		53.94745		54		11.82997		40.01794		40		23.01998		98.25812		98.28391		55.00189		52.91316		53.00196		55.00659		35.29794		35.3		98.28668		48.53216		48.51		53.02802
57		3.788399		3.78675		40.22226		11.86113		11.86513		55.10112		23.0111		23.0127		79.50429		53.9598		54		11.86513		40.01855		40		23.02036		98.51974		98.50203		54.99114		52.99514		52.76785		70.23333		35.30904		35.3		98.44796		48.51388		48.51		52.84531
60		3.788217		3.78675		40.16943		11.79967		11.6704		54.97124		23.01681		23.0182		79.50058		53.89233		54		11.6704		40.00948		40		23.01493		98.45808		98.33235		54.96416		52.83585		52.80015		61.13254		35.29915		35.3		98.3068		48.51486		48.51		52.85524
63		3.787765		3.78675		40.03834		11.90389		11.93386		55.14414		23.0031		23.00878		79.50731		53.98398		54		11.93386		39.99834		40		23.00827		98.2806		98.27977		54.99567		52.86294		52.83769		60.63332		35.31438		35.3		98.52854		48.51533		48.51		52.86007
66		3.790065		3.78675		40.70952		11.82277		11.92899		55.2198		22.96171		23.02058		79.55851		53.98248		54		11.92899		40.01054		40		23.01562		98.55935		98.72105		55.03678		52.90566		52.88549		60.35549		35.33007		35.3		98.75787		48.49717		48.51		52.6787
69		3.789444		3.78675		40.52893		12.02765		11.68679		54.79325		22.99033		23.0509		79.56555		53.89851		54		11.68679		40.01035		40		23.01553		98.28463		98.40112		55.02592		52.93834		52.88635		61.93533		35.3263		35.3		98.7062		48.52017		48.51		52.90883
72		3.789398		3.78675		40.5162		11.82706		11.7651		55.0283		23.00602		23.0589		79.55378		53.92587		54		11.7651		40.08267		40		23.05897		98.34685		98.48316		55.03287		52.89158		52.85623		61.16494		35.31009		35.3		98.47891		48.53575		48.51		53.06477
75		3.788839		3.78675		40.35392		11.86685		11.89149		55.0723		23.04311		23.01659		79.47869		53.96998		54		11.89149		39.99391		40		23.00574		98.38917		98.43941		55.01207		52.96872		52.99235		58.35028		35.32694		35.3		98.72496		48.51606		48.51		52.86806
78		3.788754		3.78675		40.32955		11.73275		11.70291		55.01086		23.06607		23.02164		79.46209		53.9047		54		11.70291		40.02012		40		23.0215		98.42762		98.6781		55.06321		52.89201		52.87396		60.37928		35.30427		35.3		98.40248		48.50775		48.51		52.78515
81		3.789651		3.78675		40.59204		11.91507		12.03996		55.15861		22.99355		23.03764		79.54309		54.02193		54		12.03996		40.0663		40		23.04924		98.27859		98.56409		55.07253		52.88239		52.89454		58.94936		35.30403		35.3		98.40227		48.51309		48.51		52.83867
84		3.791085		3.78675		41.01073		11.85537		11.82153		54.99857		23.05162		23.03882		79.4883		53.94629		54		11.82153		40.04749		40		23.03798		98.47575		98.48557		55.00389		52.94597		52.98236		57.81084		35.30738		35.3		98.45224		48.49899		48.51		52.69782
87		3.788628		3.78675		40.29475		11.86016		11.91864		55.08806		23.03994		23.03113		79.49003		53.98018		54		11.91864		40.00789		40		23.01425		98.38325		98.27767		54.97601		52.94859		52.95947		59.09783		35.32685		35.3		98.73748		48.51983		48.51		52.90629
90		3.787892		3.78675		40.08058		11.84313		11.93063		55.11078		22.99998		23.02415		79.52657		53.98452		54		11.93063		40.02957		40		23.0273		98.46151		98.67223		55.05551		52.94471		52.84986		64.22692		35.3175		35.3		98.60549		48.52449		48.51		52.95308
93		3.788482		3.78675		40.25316		11.7365		11.68176		54.99771		23.01443		23.02203		79.5088		53.89826		54		11.68176		40.0751		40		23.05468		98.48577		98.52362		55.01289		52.897		52.9132		58.94346		35.31956		35.3		98.6383		48.51071		48.51		52.81551
96		3.789676		3.78675		40.60195		11.83423		11.63972		54.85446		23.07989		23.03572		79.46113		53.88386		54		11.63972		39.98722		40		23.00196		98.47278		98.79249		55.08372		53.01391		52.80705		69.67543		35.30122		35.3		98.37649		48.52934		48.51		53.00203
99		3.788289		3.78675		40.19787		11.73162		11.70649		55.0031		22.97418		23.01521		79.54069		53.90723		54		11.70649		40.04342		40		23.03573		98.31409		98.4952		55.05039		52.93077		52.91468		60.64598		35.29772		35.3		98.33025		48.50483		48.51		52.75696
102		3.788059		3.78675		40.13131		11.84614		11.96092		55.14013		23.00067		23.01729		79.52259		53.99574		54		11.96092		40.02702		40		23.02593		98.47535		98.6847		55.05924		52.91078		53.01468		54.96571		35.3119		35.3		98.54046		48.52211		48.51		52.92993
105		3.788602		3.78675		40.2905		11.72844		11.81677		55.09582		23.02629		23.02851		79.51492		53.94591		54		11.81677		40.05441		40		23.04241		98.43514		98.69932		55.0741		52.91617		52.82543		64.29026		35.30287		35.3		98.41477		48.50442		48.51		52.75313
108		3.790674		3.78675		40.89526		11.7043		11.87849		55.17938		23.00497		23.00796		79.51808		53.96753		54		11.87849		40.07102		40		23.05242		98.60214		98.59641		55.00718		52.86332		52.88075		59.12449		35.3028		35.3		98.41649		48.49924		48.51		52.70156
111		3.789475		3.78675		40.546		11.8007		11.83611		55.06483		23.01902		23.02712		79.52068		53.95296		54		11.83611		40.0197		40		23.02168		98.40505		98.51973		55.03744		52.81563		52.83927		58.82953		35.29387		35.3		98.28953		48.52524		48.51		52.96169
114		3.789649		3.78675		40.59761		11.67272		11.71299		55.06597		23.03417		23.01151		79.4962		53.91042		54		11.71299		40.00944		40		23.01557		98.52077		98.3484		54.96607		52.92566		52.93187		59.69998		35.3176		35.3		98.63366		48.51825		48.51		52.8918
117		3.787831		3.78675		40.06773		11.80613		11.78516		54.97071		23.02007		23.04798		79.5444		53.93573		54		11.78516		40.04557		40		23.0373		98.42871		98.86622		55.11973		52.94048		52.93539		60.25023		35.32427		35.3		98.73436		48.51439		48.51		52.85341
120		3.789464		3.78675		40.54472		11.79508		11.72119		54.89		23.01482		23.06672		79.56752		53.91374		54		11.72119		40.10034		40		23.07022		98.48821		98.69765		55.06433		52.97965		52.90456		63.63406		35.31739		35.3		98.63994		48.52545		48.51		52.96424
123		3.78924		3.78675		40.47993		11.72057		11.77892		55.01439		23.02971		23.0365		79.52695		53.934		54		11.77892		40.11528		40		23.07924		98.51541		98.49012		55.00698		52.8986		52.91198		59.45283		35.31133		35.3		98.55779		48.50305		48.51		52.7403
126		3.790047		3.78675		40.71629		11.93985		11.77363		54.79318		23.03486		23.05788		79.54808		53.93237		54		11.77363		40.05437		40		23.04277		98.28296		98.80982		55.14569		52.76689		52.94544		51.50948		35.31133		35.3		98.56104		48.53439		48.51		53.05388
