Trend data for Model:	
Model time base:		72
Plot duration (secs):		24624

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.785464		3.78675		39.69231		11.37423		11.46283		54		23.61747		23.57172		80.9918		54.02178		54		11.46283		39.81862		40		23.57172		97.97373		97.48655		53.99512		52.84836		53.02935		52.86183		35.05244		35.3		97.48655		48.23402		48.51		53.02935
72		3.786399		3.78675		39.96841		12.12856		12.40368		55.75437		23.45501		23.50526		80.90558		54.24732		54		12.40368		39.80449		40		23.49827		96.03301		95.15324		52.18165		52.9104		52.95769		59.46701		35.06653		35.3		97.7413		48.25125		48.51		53.06508
144		3.788119		3.78675		40.47628		13.67578		13.67096		58.23749		23.38038		23.31493		80.44119		54.52826		54		13.67096		39.72162		40		23.22052		95.8313		97.32166		53.43255		52.69107		52.60724		65.60054		35.05415		35.3		93.90676		48.22782		48.51		52.69275
216		3.790317		3.78675		41.12471		14.57788		14.64908		60.38567		22.87359		22.67383		78.94087		54.715		54		14.64908		39.54626		40		22.65358		95.01867		98.47571		54.78106		52.81675		52.79892		62.27865		35.06097		35.3		93.19566		48.24828		48.51		52.76604
288		3.787477		3.78675		40.30418		15.01197		15.23962		61.67305		21.77263		21.58994		76.46521		54.79489		54		15.23962		39.24463		40		21.66791		95.41652		98.56027		55.28398		52.94101		52.98824		58.92628		35.1014		35.3		97.88816		48.29458		48.51		53.11004
360		3.787773		3.78675		40.39518		15.36946		15.54136		62.55124		21.0051		20.7803		74.57341		54.7975		54		15.54136		39.00467		40		20.8161		95.49477		98.89098		55.52165		53.04937		53.20798		53.6738		35.12068		35.3		99.29239		48.30208		48.51		53.07677
432		3.786593		3.78675		40.05549		15.50227		15.43817		62.41782		20.49083		20.31047		73.5183		54.70215		54		15.43817		38.94939		40		20.47616		95.58803		93.44842		54.69776		53.25318		53.28794		59.19216		35.0982		35.3		94.16635		48.31882		48.51		53.14763
504		3.789175		3.78675		40.81298		15.27534		15.46261		62.58768		20.1834		20.1541		72.98025		54.64513		54		15.46261		38.91426		40		20.18641		95.25386		97.98813		54.98306		53.36226		53.31966		62.74387		35.12684		35.3		97.18739		48.34973		48.51		53.37177
576		3.78673		3.78675		40.10255		15.49521		15.32838		62.26737		19.98404		20.27127		72.96883		54.55314		54		15.32838		38.99555		40		20.2342		94.83543		94.02033		54.09702		53.32324		53.41869		55.9245		35.11176		35.3		93.34884		48.38011		48.51		53.59991
648		3.785432		3.78675		39.72458		15.40669		15.85296		62.97352		20.09184		20.12433		72.69264		54.63044		54		15.85296		38.99276		40		20.04881		94.5202		95.38586		54.56645		53.56943		53.49942		63.65132		35.12695		35.3		94.37962		48.39042		48.51		53.63509
720		3.787193		3.78675		40.23732		15.43981		15.01415		61.7979		19.963		20.07946		72.66264		54.37322		54		15.01415		39.03113		40		19.99027		94.94882		94.86984		53.94955		53.59621		53.5136		64.16046		35.12856		35.3		93.31384		48.40303		48.51		53.70065
792		3.786985		3.78675		40.17532		15.30498		14.88752		61.43544		20.01733		19.97232		72.4768		54.30311		54		14.88752		39.12066		40		20.08743		95.73797		97.07418		54.16585		53.70744		53.82324		54.68619		35.14255		35.3		94.2813		48.42055		48.51		53.82415
864		3.787914		3.78675		40.44356		14.68959		14.99861		61.57802		20.05315		20.11289		72.7318		54.30148		54		14.99861		39.17657		40		20.1003		94.9019		95.53306		53.6825		53.839		53.94746		55.23209		35.16777		35.3		97.08285		48.40334		48.51		53.60611
936		3.788428		3.78675		40.58888		14.42014		14.68913		61.09681		20.28987		20.21028		72.98732		54.20258		54		14.68913		39.30783		40		20.34795		95.11978		97.08122		53.83687		53.82339		53.7681		63.89413		35.1698		35.3		96.272		48.43747		48.51		53.91002
1008		3.785734		3.78675		39.79662		14.39131		14.32696		60.20794		20.48928		20.49348		73.47149		54.09788		54		14.32696		39.37293		40		20.42222		95.20262		94.79498		52.69443		53.92927		53.88322		63.22512		35.14404		35.3		91.09856		48.45017		48.51		54.00351
1080		3.786478		3.78675		40.00796		14.20728		14.09112		59.95844		20.57656		20.55495		73.84795		54.0295		54		14.09112		39.54292		40		20.8169		94.17786		95.34478		53.19458		54.08633		54.1375		58.32455		35.16301		35.3		93.07799		48.46056		48.51		54.07909
1152		3.785122		3.78675		39.60556		14.0502		13.27474		58.65956		20.79012		20.82341		74.2968		53.82181		54		13.27474		39.5909		40		20.87424		93.56306		93.73805		52.7195		54.07776		54.16901		56.47916		35.16803		35.3		92.90047		48.47954		48.51		54.24539
1224		3.78532		3.78675		39.65668		13.54863		13.9968		59.39938		20.78094		20.99748		74.72506		54.0068		54		13.9968		39.63717		40		20.93875		94.94668		94.57056		52.38973		54.13701		54.19852		58.2341		35.17523		35.3		93.1157		48.47067		48.51		54.13577
1296		3.785451		3.78675		39.68676		13.54982		13.66096		58.70352		21.08031		21.27128		75.16426		53.9299		54		13.66096		39.71672		40		21.11255		94.90974		96.11795		52.40891		54.26085		54.12989		67.1374		35.20529		35.3		96.99118		48.47438		48.51		54.15515
1368		3.784547		3.78675		39.41584		13.45962		13.5394		58.31014		21.33849		21.20091		75.37201		53.90936		54		13.5394		39.78934		40		21.28253		94.75396		96.62452		52.36991		54.3044		54.23979		63.84722		35.18704		35.3		93.2658		48.49732		48.51		54.37044
1440		3.785237		3.78675		39.60941		13.26833		13.31081		57.93973		21.39354		21.34231		75.76978		53.86491		54		13.31081		39.88038		40		21.51743		94.86753		94.41013		51.84885		54.2096		54.37396		52.62191		35.20794		35.3		95.78386		48.49086		48.51		54.29279
1512		3.784886		3.78675		39.49801		13.25794		12.88522		57.19603		21.54505		21.62363		76.13929		53.77343		54		12.88522		39.96406		40		21.73953		96.10656		96.86384		52.28453		54.21202		54.44217		49.1017		35.20751		35.3		94.97564		48.47942		48.51		54.16673
1584		3.787128		3.78675		40.14357		12.93762		12.86499		56.86068		21.71505		21.76759		76.49223		53.78817		54		12.86499		39.9576		40		21.7096		94.52286		92.2943		51.35755		54.29186		54.45326		52.31076		35.21412		35.3		95.30615		48.50277		48.51		54.39141
1656		3.786018		3.78675		39.81009		12.81415		12.5275		56.48221		21.98278		21.96573		76.89629		53.72406		54		12.5275		40.03022		40		21.91965		95.09799		99.19319		52.19241		54.24052		54.29132		58.1037		35.23706		35.3		98.2622		48.4907		48.51		54.26096
1728		3.786643		3.78675		39.98383		12.88312		12.49184		56.30645		21.99698		21.91689		77.18819		53.73479		54		12.49184		40.06435		40		22.02837		96.10248		99.21944		52.51502		54.34055		54.32578		61.29792		35.22633		35.3		95.93399		48.48988		48.51		54.24365
1800		3.783449		3.78675		39.04428		12.27898		11.84246		55.51072		22.153		22.11137		77.49162		53.59612		54		11.84246		40.10967		40		22.17636		95.06937		94.22434		51.60507		54.13208		54.11721		61.39281		35.21588		35.3		93.68609		48.4993		48.51		54.33014
1872		3.785726		3.78675		39.7007		12.39663		12.26123		55.54617		22.26044		22.21304		77.62102		53.7271		54		12.26123		40.17376		40		22.38122		95.719		93.3531		50.94411		54.36458		54.27074		65.21839		35.19718		35.3		90.14454		48.4873		48.51		54.20257
1944		3.783744		3.78675		39.1132		12.25654		12.61387		56.38247		22.4072		22.54863		78.32458		53.83699		54		12.61387		40.14806		40		22.33523		95.4692		94.15276		51.16347		54.16221		54.12981		62.17999		35.22138		35.3		93.4254		48.50365		48.51		54.35716
2016		3.788334		3.78675		40.44356		12.36632		12.37821		56.08184		22.52472		22.55753		78.41015		53.7957		54		12.37821		40.21971		40		22.57652		94.63843		97.22976		52.29289		54.17425		54.19498		59.89898		35.23404		35.3		94.92696		48.47595		48.51		54.069
2088		3.784433		3.78675		39.29813		12.47573		12.07181		55.32821		22.41318		22.47902		78.24741		53.7384		54		12.07181		40.13052		40		22.34742		96.29584		96.80166		52.013		54.16618		54.19609		59.39269		35.23859		35.3		95.17424		48.49252		48.51		54.2261
2160		3.78466		3.78675		39.35783		12.14228		12.01068		55.05515		22.38864		22.3169		78.14716		53.74566		54		12.01068		40.15706		40		22.44982		95.96821		94.42891		51.58319		54.24122		54.01931		71.41842		35.24236		35.3		95.32687		48.49037		48.51		54.19652
2232		3.785585		3.78675		39.61999		12.23341		12.29421		55.30476		22.54657		22.53237		78.5368		53.83923		54		12.29421		40.24283		40		22.72871		95.50822		92.87906		51.26244		54.1515		54.24263		56.49557		35.2371		35.3		94.05656		48.49245		48.51		54.20836
2304		3.787355		3.78675		40.12962		12.00771		11.96619		55.15165		22.64721		22.51636		78.8226		53.77623		54		11.96619		40.2905		40		22.90505		96.08315		95.36907		51.61065		54.19687		54.29962		56.21973		35.25189		35.3		95.9916		48.50001		48.51		54.27358
2376		3.785899		3.78675		39.69907		11.84399		12.14902		55.45801		22.70588		22.81966		79.20278		53.84088		54		12.14902		40.19925		40		22.68272		96.55642		96.80667		51.96389		54.12616		54.11418		61.39897		35.25328		35.3		95.83562		48.4915		48.51		54.17699
2448		3.785719		3.78675		39.6403		12.13179		11.99393		54.91482		22.78607		22.81299		79.13187		53.82026		54		11.99393		40.19328		40		22.70462		95.36308		95.50716		51.80193		54.04934		54.10069		58.7395		35.26838		35.3		97.86611		48.48291		48.51		54.07882
2520		3.786836		3.78675		39.96045		11.86793		12.07509		55.1741		22.83784		22.70394		79.02302		53.85797		54		12.07509		40.20794		40		22.78475		96.26575		96.69706		51.96407		54.11717		54.11569		61.15095		35.2497		35.3		94.56983		48.49459		48.51		54.18357
2592		3.786125		3.78675		39.74696		11.91461		12.06443		55.17029		22.93553		22.93493		79.31851		53.87096		54		12.06443		40.16818		40		22.70853		96.92218		95.66297		51.86208		54.00551		53.91438		65.68207		35.27308		35.3		97.95547		48.47596		48.51		53.98224
2664		3.786147		3.78675		39.74652		12.02167		11.91925		54.99925		22.90201		22.86454		79.32476		53.84871		54		11.91925		40.24179		40		22.96073		96.02492		95.77245		51.93483		53.94823		54.05173		55.95226		35.25365		35.3		94.56687		48.48923		48.51		54.10019
2736		3.789796		3.78675		40.80606		12.00692		12.13749		55.16294		22.86271		22.99351		79.47153		53.91588		54		12.13749		40.20412		40		22.88834		95.99022		98.46631		52.84669		53.98668		54.10195		55.31762		35.2911		35.3		100.228		48.49034		48.51		54.0963
2808		3.787307		3.78675		40.07598		11.77687		11.68463		54.50322		22.86548		22.88979		79.35881		53.81772		54		11.68463		40.16908		40		22.8212		96.76039		96.74634		52.04338		53.94594		53.90305		62.50868		35.29505		35.3		100.5895		48.47873		48.51		53.96456
2880		3.784683		3.78675		39.30689		11.65883		11.61808		54.58467		22.90264		22.86811		79.31524		53.81558		54		11.61808		40.19645		40		22.93267		96.56842		94.86768		51.90109		53.91383		53.99938		56.68951		35.26578		35.3		95.70787		48.47759		48.51		53.93748
2952		3.786711		3.78675		39.89476		11.69342		12.02995		55.12426		23.05543		23.05161		79.64716		53.93163		54		12.02995		40.23901		40		23.09229		95.47542		95.89986		52.22495		53.85023		54.01552		52.95944		35.25856		35.3		94.32402		48.48024		48.51		53.94733
3024		3.785685		3.78675		39.5937		11.78436		11.7466		54.75263		23.10142		23.07135		79.73923		53.87144		54		11.7466		40.22429		40		23.08703		96.22829		96.21587		52.1004		53.88087		53.92153		58.83437		35.26425		35.3		95.00576		48.46259		48.51		53.75216
